question,title,answer,passage,context,prompt,model_output,parsed_answer,parsed_confidence
can i use a tracfone with straight talk service,TracFone Wireless,False,"Straight Talk offers a variety of prepaid, no contract, phones on their website for use with their plans. Straight Talk also allows customers to bring AT&T, T-Mobile, Sprint, Verizon, or unlocked GSM phones to Straight Talk by buying a SIM card or activation kit and air time from the company. This program does not work with branded Straight Talk, SafeLink, TracFone, Total Wireless, and NET10 phones.","Straight Talk offers a variety of prepaid, no contract, phones on their website for use with their plans. Straight Talk also allows customers to bring AT&T, T-Mobile, Sprint, Verizon, or unlocked GSM phones to Straight Talk by buying a SIM card or activation kit and air time from the company. This program does not work with branded Straight Talk, SafeLink, TracFone, Total Wireless, and NET10 phones.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: Straight Talk offers a variety of prepaid, no contract, phones on their website for use with their plans. Straight Talk also allows customers to bring AT&T, T-Mobile, Sprint, Verizon, or unlocked GSM phones to Straight Talk by buying a SIM card or activation kit and air time from the company. This program does not work with branded Straight Talk, SafeLink, TracFone, Total Wireless, and NET10 phones.
Question: can i use a tracfone with straight talk service","? {""answer"": ""False"", ""confidence"": 100} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0",False,100.0
does pam and jim get together in the office,Pam Beesly,True,"Pamela Morgan Halpert (née Beesly) is a fictional character on the U.S. television sitcom The Office, played by Jenna Fischer. Her counterpart in the original UK series of The Office is Dawn Tinsley. Her character is initially the receptionist at the paper distribution company Dunder Mifflin, before becoming a saleswoman and eventually office administrator until her termination in the series finale. Her character is shy, growing assertive but amiable, and artistically inclined, and shares romantic interest with Jim Halpert, whom she begins dating in the fourth season and marries and starts a family with as the series continues.","Pamela Morgan Halpert (née Beesly) is a fictional character on the U.S. television sitcom The Office, played by Jenna Fischer. Her counterpart in the original UK series of The Office is Dawn Tinsley. Her character is initially the receptionist at the paper distribution company Dunder Mifflin, before becoming a saleswoman and eventually office administrator until her termination in the series finale. Her character is shy, growing assertive but amiable, and artistically inclined, and shares romantic interest with Jim Halpert, whom she begins dating in the fourth season and marries and starts a family with as the series continues.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: Pamela Morgan Halpert (née Beesly) is a fictional character on the U.S. television sitcom The Office, played by Jenna Fischer. Her counterpart in the original UK series of The Office is Dawn Tinsley. Her character is initially the receptionist at the paper distribution company Dunder Mifflin, before becoming a saleswoman and eventually office administrator until her termination in the series finale. Her character is shy, growing assertive but amiable, and artistically inclined, and shares romantic interest with Jim Halpert, whom she begins dating in the fourth season and marries and starts a family with as the series continues.
Question: does pam and jim get together in the office",series?,,
is there going to be another season of the punisher,The Punisher (season 2),True,"The second season of The Punisher is scheduled to be released in 2019 on the streaming service Netflix, worldwide.","The second season of The Punisher is scheduled to be released in 2019 on the streaming service Netflix, worldwide.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The second season of The Punisher is scheduled to be released in 2019 on the streaming service Netflix, worldwide.
Question: is there going to be another season of the punisher",?,,
does a goal from a throw in count,Throw-in,False,"A goal cannot be scored directly from a throw-in; if a player throws the ball directly into their own goal without any other player touching it, the result is a corner kick to the opposing side. Likewise an offensive goal cannot be scored directly from a throw in; the result in this case is a goal kick for the defending team.","A goal cannot be scored directly from a throw-in; if a player throws the ball directly into their own goal without any other player touching it, the result is a corner kick to the opposing side. Likewise an offensive goal cannot be scored directly from a throw in; the result in this case is a goal kick for the defending team.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: A goal cannot be scored directly from a throw-in; if a player throws the ball directly into their own goal without any other player touching it, the result is a corner kick to the opposing side. Likewise an offensive goal cannot be scored directly from a throw in; the result in this case is a goal kick for the defending team.
Question: does a goal from a throw in count",as an offensive goal?,,
is a pinky a finger yes or no,Little finger,True,"The little finger, or pinky finger (in American English), also known as the fourth digit, or pinkie, is the most ulnar and smallest finger of the human hand, opposite the thumb, and next to the ring finger.","The little finger, or pinky finger (in American English), also known as the fourth digit, or pinkie, is the most ulnar and smallest finger of the human hand, opposite the thumb, and next to the ring finger.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The little finger, or pinky finger (in American English), also known as the fourth digit, or pinkie, is the most ulnar and smallest finger of the human hand, opposite the thumb, and next to the ring finger.
Question: is a pinky a finger yes or no","{""answer"": ""True"", ""confidence"": 100}",True,100.0
did the uk have a referendum to join the eu,"United Kingdom European Communities membership referendum, 1975",True,"The United Kingdom European Communities membership referendum, also known as the Referendum on the European Community (Common Market), the Common Market referendum and EEC membership referendum took place on 5 June 1975 in the United Kingdom to gauge support for the country's continued membership of the European Communities (EC)--often known at the time as the ``European Community'' and the ``Common Market'' which it had entered on 1 January 1973 under the Conservative government of Edward Heath under the provisions of the Referendum Act 1975. Labour's manifesto for the October 1974 general election had promised that the people would decide ``through the ballot box'' whether to remain in the EC.","The United Kingdom European Communities membership referendum, also known as the Referendum on the European Community (Common Market), the Common Market referendum and EEC membership referendum took place on 5 June 1975 in the United Kingdom to gauge support for the country's continued membership of the European Communities (EC)--often known at the time as the ``European Community'' and the ``Common Market'' which it had entered on 1 January 1973 under the Conservative government of Edward Heath under the provisions of the Referendum Act 1975. Labour's manifesto for the October 1974 general election had promised that the people would decide ``through the ballot box'' whether to remain in the EC.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The United Kingdom European Communities membership referendum, also known as the Referendum on the European Community (Common Market), the Common Market referendum and EEC membership referendum took place on 5 June 1975 in the United Kingdom to gauge support for the country's continued membership of the European Communities (EC)--often known at the time as the ``European Community'' and the ``Common Market'' which it had entered on 1 January 1973 under the Conservative government of Edward Heath under the provisions of the Referendum Act 1975. Labour's manifesto for the October 1974 general election had promised that the people would decide ``through the ballot box'' whether to remain in the EC.
Question: did the uk have a referendum to join the eu","?

{""answer"": ""True"", ""confidence"": 100}",True,100.0
can a local maximum also be an absolute maximum,Maxima and minima,True,"In mathematical analysis, the maxima and minima (the respective plurals of maximum and minimum) of a function, known collectively as extrema (the plural of extremum), are the largest and smallest value of the function, either within a given range (the local or relative extrema) or on the entire domain of a function (the global or absolute extrema). Pierre de Fermat was one of the first mathematicians to propose a general technique, adequality, for finding the maxima and minima of functions.","In mathematical analysis, the maxima and minima (the respective plurals of maximum and minimum) of a function, known collectively as extrema (the plural of extremum), are the largest and smallest value of the function, either within a given range (the local or relative extrema) or on the entire domain of a function (the global or absolute extrema). Pierre de Fermat was one of the first mathematicians to propose a general technique, adequality, for finding the maxima and minima of functions.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: In mathematical analysis, the maxima and minima (the respective plurals of maximum and minimum) of a function, known collectively as extrema (the plural of extremum), are the largest and smallest value of the function, either within a given range (the local or relative extrema) or on the entire domain of a function (the global or absolute extrema). Pierre de Fermat was one of the first mathematicians to propose a general technique, adequality, for finding the maxima and minima of functions.
Question: can a local maximum also be an absolute maximum",?,,
is lethal weapon based on a true story,Lethal Weapon,False,"Recent UCLA graduate Shane Black wrote the screenplay in mid-1985. Black stated that his intention was to do an ``urban western'' inspired by Dirty Harry where a violent character ``reviled for what he did, what he is capable of, the things he believed in'' is eventually recruited for being the one that could solve the problem. The protagonists would be everymen policemen, ``guys shuffling in a town like Los Angeles searching for something noble as justice when they're just guys in washed and worn suits seeking a paycheck''.","Recent UCLA graduate Shane Black wrote the screenplay in mid-1985. Black stated that his intention was to do an ``urban western'' inspired by Dirty Harry where a violent character ``reviled for what he did, what he is capable of, the things he believed in'' is eventually recruited for being the one that could solve the problem. The protagonists would be everymen policemen, ``guys shuffling in a town like Los Angeles searching for something noble as justice when they're just guys in washed and worn suits seeking a paycheck''.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: Recent UCLA graduate Shane Black wrote the screenplay in mid-1985. Black stated that his intention was to do an ``urban western'' inspired by Dirty Harry where a violent character ``reviled for what he did, what he is capable of, the things he believed in'' is eventually recruited for being the one that could solve the problem. The protagonists would be everymen policemen, ``guys shuffling in a town like Los Angeles searching for something noble as justice when they're just guys in washed and worn suits seeking a paycheck''.
Question: is lethal weapon based on a true story","?

JSON response:
{""answer"": ""True"", ""confidence"": 90}",True,90.0
is bermuda an island in the caribbean sea,Bermuda,False,"Bermuda ( /bərˈmjuːdə/) is a British Overseas Territory in the North Atlantic Ocean. It is approximately 1,070 km (665 mi) east-southeast of Cape Hatteras, North Carolina; 1,236 km (768 mi) south of Cape Sable Island, Nova Scotia; and 1,578 km (981 mi) north of Puerto Rico. The capital city is Hamilton. Bermuda is an associate member of Caribbean Community (CARICOM).","Bermuda ( /bərˈmjuːdə/) is a British Overseas Territory in the North Atlantic Ocean. It is approximately 1,070 km (665 mi) east-southeast of Cape Hatteras, North Carolina; 1,236 km (768 mi) south of Cape Sable Island, Nova Scotia; and 1,578 km (981 mi) north of Puerto Rico. The capital city is Hamilton. Bermuda is an associate member of Caribbean Community (CARICOM).","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: Bermuda ( /bərˈmjuːdə/) is a British Overseas Territory in the North Atlantic Ocean. It is approximately 1,070 km (665 mi) east-southeast of Cape Hatteras, North Carolina; 1,236 km (768 mi) south of Cape Sable Island, Nova Scotia; and 1,578 km (981 mi) north of Puerto Rico. The capital city is Hamilton. Bermuda is an associate member of Caribbean Community (CARICOM).
Question: is bermuda an island in the caribbean sea","? ""


{""answer"": ""False"", ""confidence"": 100}",False,100.0
is the 2 dollar bill still in circulation,United States two-dollar bill,True,"The United States two-dollar bill ($2) is a current denomination of U.S. currency. The third U.S. President (1801--09), Thomas Jefferson, is featured on the obverse of the note. The reverse features an engraving of the painting The Declaration of Independence by John Trumbull. Throughout the $2 bill's pre-1929 life as a large-sized note, it was issued as a United States Note, National Bank Note, silver certificate, Treasury or ``Coin'' Note and Federal Reserve Bank Note. When U.S. currency was changed to its current size, the $2 bill was issued only as a United States Note. Production went on until 1966, when the series was discontinued. Ten years passed before the $2 bill was reissued as a Federal Reserve Note with a new reverse design. Two-dollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand. This comparative scarcity in circulation, coupled with a lack of public knowledge that the bill is still in production and circulation, has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases.","The United States two-dollar bill ($2) is a current denomination of U.S. currency. The third U.S. President (1801--09), Thomas Jefferson, is featured on the obverse of the note. The reverse features an engraving of the painting The Declaration of Independence by John Trumbull. Throughout the $2 bill's pre-1929 life as a large-sized note, it was issued as a United States Note, National Bank Note, silver certificate, Treasury or ``Coin'' Note and Federal Reserve Bank Note. When U.S. currency was changed to its current size, the $2 bill was issued only as a United States Note. Production went on until 1966, when the series was discontinued. Ten years passed before the $2 bill was reissued as a Federal Reserve Note with a new reverse design. Two-dollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand. This comparative scarcity in circulation, coupled with a lack of public knowledge that the bill is still in production and circulation, has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The United States two-dollar bill ($2) is a current denomination of U.S. currency. The third U.S. President (1801--09), Thomas Jefferson, is featured on the obverse of the note. The reverse features an engraving of the painting The Declaration of Independence by John Trumbull. Throughout the $2 bill's pre-1929 life as a large-sized note, it was issued as a United States Note, National Bank Note, silver certificate, Treasury or ``Coin'' Note and Federal Reserve Bank Note. When U.S. currency was changed to its current size, the $2 bill was issued only as a United States Note. Production went on until 1966, when the series was discontinued. Ten years passed before the $2 bill was reissued as a Federal Reserve Note with a new reverse design. Two-dollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand. This comparative scarcity in circulation, coupled with a lack of public knowledge that the bill is still in production and circulation, has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases.
Question: is the 2 dollar bill still in circulation","? {""answer"": ""False"", ""confidence"": 0}}",False,0.0
is it ok to eat cooking apples raw,Cooking apple,True,It is often believed that eating cooking apples raw will make a person sick. In reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. This myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.,It is often believed that eating cooking apples raw will make a person sick. In reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. This myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.,"You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: It is often believed that eating cooking apples raw will make a person sick. In reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. This myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.
Question: is it ok to eat cooking apples raw","? 

{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100}",True,100.0
is the uefa champions league final one game,2018 UEFA Champions League Final,True,"The 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th season since it was renamed from the European Cup to the UEFA Champions League. It was played at the NSC Olimpiyskiy Stadium in Kiev, Ukraine on 26 May 2018, between Spanish side and defending champions Real Madrid, who had won the competition in each of the last two seasons, and English side Liverpool.","The 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th season since it was renamed from the European Cup to the UEFA Champions League. It was played at the NSC Olimpiyskiy Stadium in Kiev, Ukraine on 26 May 2018, between Spanish side and defending champions Real Madrid, who had won the competition in each of the last two seasons, and English side Liverpool.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th season since it was renamed from the European Cup to the UEFA Champions League. It was played at the NSC Olimpiyskiy Stadium in Kiev, Ukraine on 26 May 2018, between Spanish side and defending champions Real Madrid, who had won the competition in each of the last two seasons, and English side Liverpool.
Question: is the uefa champions league final one game",?,,
do you ever find out how ted met their mother,The Mother (How I Met Your Mother),True,"The story of how Ted met The Mother is the framing device behind the series; many facts about her are revealed throughout the series, including the fact that Ted once unwittingly owned her umbrella before accidentally leaving it behind in her apartment. Ted and The Mother meet at the Farhampton train station following Barney Stinson and Robin Scherbatsky's wedding; this scene is shown in ``Last Forever'', the series finale. The Mother's death from an unspecified terminal illness in 2024, also revealed in the series finale, received a mixed reaction from fans.","The story of how Ted met The Mother is the framing device behind the series; many facts about her are revealed throughout the series, including the fact that Ted once unwittingly owned her umbrella before accidentally leaving it behind in her apartment. Ted and The Mother meet at the Farhampton train station following Barney Stinson and Robin Scherbatsky's wedding; this scene is shown in ``Last Forever'', the series finale. The Mother's death from an unspecified terminal illness in 2024, also revealed in the series finale, received a mixed reaction from fans.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The story of how Ted met The Mother is the framing device behind the series; many facts about her are revealed throughout the series, including the fact that Ted once unwittingly owned her umbrella before accidentally leaving it behind in her apartment. Ted and The Mother meet at the Farhampton train station following Barney Stinson and Robin Scherbatsky's wedding; this scene is shown in ``Last Forever'', the series finale. The Mother's death from an unspecified terminal illness in 2024, also revealed in the series finale, received a mixed reaction from fans.
Question: do you ever find out how ted met their mother",?,,
does a deed of trust have to have a trustee,Deed of trust (real estate),True,"In real estate in the United States, a deed of trust or trust deed is a deed wherein legal title in real property is transferred to a trustee, which holds it as security for a loan (debt) between a borrower and lender. The equitable title remains with the borrower. The borrower is referred to as the trustor, while the lender is referred to as the beneficiary.","In real estate in the United States, a deed of trust or trust deed is a deed wherein legal title in real property is transferred to a trustee, which holds it as security for a loan (debt) between a borrower and lender. The equitable title remains with the borrower. The borrower is referred to as the trustor, while the lender is referred to as the beneficiary.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: In real estate in the United States, a deed of trust or trust deed is a deed wherein legal title in real property is transferred to a trustee, which holds it as security for a loan (debt) between a borrower and lender. The equitable title remains with the borrower. The borrower is referred to as the trustor, while the lender is referred to as the beneficiary.
Question: does a deed of trust have to have a trustee","?

{""answer"": ""False"", ""confidence"": 80}",False,80.0
is the movie the rock based on a true story,The Rock (film),False,"The Rock is a 1996 American action thriller film directed by Michael Bay, produced by Don Simpson and Jerry Bruckheimer, and written by David Weisberg and Douglas S. Cook. The film stars Sean Connery, Nicolas Cage and Ed Harris, with William Forsythe and Michael Biehn co-starring. It is dedicated to Simpson, who died five months before its release. The film received moderately positive reviews from critics, and was nominated for an Academy Award for Best Sound at the 69th Academy Awards. It was a box office success, grossing over $335 million against a production budget of $75 million.","The Rock is a 1996 American action thriller film directed by Michael Bay, produced by Don Simpson and Jerry Bruckheimer, and written by David Weisberg and Douglas S. Cook. The film stars Sean Connery, Nicolas Cage and Ed Harris, with William Forsythe and Michael Biehn co-starring. It is dedicated to Simpson, who died five months before its release. The film received moderately positive reviews from critics, and was nominated for an Academy Award for Best Sound at the 69th Academy Awards. It was a box office success, grossing over $335 million against a production budget of $75 million.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The Rock is a 1996 American action thriller film directed by Michael Bay, produced by Don Simpson and Jerry Bruckheimer, and written by David Weisberg and Douglas S. Cook. The film stars Sean Connery, Nicolas Cage and Ed Harris, with William Forsythe and Michael Biehn co-starring. It is dedicated to Simpson, who died five months before its release. The film received moderately positive reviews from critics, and was nominated for an Academy Award for Best Sound at the 69th Academy Awards. It was a box office success, grossing over $335 million against a production budget of $75 million.
Question: is the movie the rock based on a true story","?{""answer"": ""False"", ""confidence"": 90}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 85}{""answer"": ""True"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 85}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 95}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 85}{""answer"": ""True"", ""confidence"": 75}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 85}{""answer"": ""False"", ""confidence"": 75}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 85}{""answer"": ""True"", ""confidence"": 75}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 85}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 75}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 80",False,90.0
do your maid of honor have to be married,Bridesmaid,False,"The principal bridesmaid, if one is so designated, may be called the chief bridesmaid or maid of honor if she is unmarried, or the matron of honor if she is married. A junior bridesmaid is a girl who is clearly too young to be married, but who is included as an honorary bridesmaid. In the United States, typically only the maid/matron of honor and the best man are the official witnesses for the wedding license.","The principal bridesmaid, if one is so designated, may be called the chief bridesmaid or maid of honor if she is unmarried, or the matron of honor if she is married. A junior bridesmaid is a girl who is clearly too young to be married, but who is included as an honorary bridesmaid. In the United States, typically only the maid/matron of honor and the best man are the official witnesses for the wedding license.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The principal bridesmaid, if one is so designated, may be called the chief bridesmaid or maid of honor if she is unmarried, or the matron of honor if she is married. A junior bridesmaid is a girl who is clearly too young to be married, but who is included as an honorary bridesmaid. In the United States, typically only the maid/matron of honor and the best man are the official witnesses for the wedding license.
Question: do your maid of honor have to be married","? 

{""answer"": ""False"", ""confidence"": 100}",False,100.0
is the walking dead ride a roller coaster,The Walking Dead: The Ride,True,"The Walking Dead: The Ride (formerly known as X:\ No Way Out and X) is an indoor roller coaster located at Thorpe Park, England. It was the park's first non-powered roller-coaster. It was themed around a rave and had the strapline ``Ride on a wave of light and sound'' -- when it was titled X -- but currently The Walking Dead: The Ride's slogan is ``Those who ride, survive''.","The Walking Dead: The Ride (formerly known as X:\ No Way Out and X) is an indoor roller coaster located at Thorpe Park, England. It was the park's first non-powered roller-coaster. It was themed around a rave and had the strapline ``Ride on a wave of light and sound'' -- when it was titled X -- but currently The Walking Dead: The Ride's slogan is ``Those who ride, survive''.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The Walking Dead: The Ride (formerly known as X:\ No Way Out and X) is an indoor roller coaster located at Thorpe Park, England. It was the park's first non-powered roller-coaster. It was themed around a rave and had the strapline ``Ride on a wave of light and sound'' -- when it was titled X -- but currently The Walking Dead: The Ride's slogan is ``Those who ride, survive''.
Question: is the walking dead ride a roller coaster",?,,
are a cougar and mountain lion the same,Cougar,True,"The cougar (Puma concolor), also commonly known as the puma, mountain lion, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the widest of any large wild terrestrial mammal in the Western Hemisphere. An adaptable, generalist species, the cougar is found in most American habitat types. It is the biggest cat in North America and the second-heaviest cat in the New World after the jaguar. Secretive and largely solitary by nature, the cougar is properly considered both nocturnal and crepuscular, although daytime sightings do occur. The cougar is more closely related to smaller felines, including the domestic cat (subfamily Felinae), than to any species of subfamily Pantherinae, of which only the jaguar is native to the Americas.","The cougar (Puma concolor), also commonly known as the puma, mountain lion, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the widest of any large wild terrestrial mammal in the Western Hemisphere. An adaptable, generalist species, the cougar is found in most American habitat types. It is the biggest cat in North America and the second-heaviest cat in the New World after the jaguar. Secretive and largely solitary by nature, the cougar is properly considered both nocturnal and crepuscular, although daytime sightings do occur. The cougar is more closely related to smaller felines, including the domestic cat (subfamily Felinae), than to any species of subfamily Pantherinae, of which only the jaguar is native to the Americas.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond only with one JSON object.

Format strictly:
{""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}

No explanation. No extra text. Only JSON.

Passage: The cougar (Puma concolor), also commonly known as the puma, mountain lion, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the widest of any large wild terrestrial mammal in the Western Hemisphere. An adaptable, generalist species, the cougar is found in most American habitat types. It is the biggest cat in North America and the second-heaviest cat in the New World after the jaguar. Secretive and largely solitary by nature, the cougar is properly considered both nocturnal and crepuscular, although daytime sightings do occur. The cougar is more closely related to smaller felines, including the domestic cat (subfamily Felinae), than to any species of subfamily Pantherinae, of which only the jaguar is native to the Americas.
Question: are a cougar and mountain lion the same","animal?

{""answer"": ""False"", ""confidence"": 80}",False,80.0
