question,question_id,question_source,answers,input_text,model_answer,uncertainty_score,model_output,dataset,model_id,ue_method,schema_version,timestamp
What is the more common name of the medical condition 'Otalgia'?,odql_2067,http://www.odquiz.org.uk/,"['earache', 'ear pain', 'EARACHE', 'Ear pain', 'ear ache', 'Ear ache', 'Ipsilateral earache', 'otalgia', 'Otalgia', 'Earache', 'ipsilateral earache']","Answer the trivia question concisely with the best short answer.
Question: What is the more common name of the medical condition 'Otalgia'?
Answer:",Earache.,1.6597601175308228,"{""answer"": ""Earache."", ""uncertainty_score"": 1.6597601175308228}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Name a year in Lord Liverpool's tenure as Prime Minister.,sfq_3276,www.sfquiz.org.uk,"['1812 1827', '1812-1827']","Answer the trivia question concisely with the best short answer.
Question: Name a year in Lord Liverpool's tenure as Prime Minister.
Answer:",1822.,1.8852084875106812,"{""answer"": ""1822."", ""uncertainty_score"": 1.8852084875106812}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Which pop group did Zayn Malik leave in March 2015?,sfq_24997,www.sfquiz.org.uk,"['1D Day', 'directioners', '1 Direction', ""Just Can't Let Her Go"", 'One Direction', 'one direction boy band', '1 direction', '1Direction', 'One Direction merchandise', 'One Chance to Dance', 'Directioner', '1direction', 'one chance to dance', 'directioner', 'one direction merchandise', '1d day', 'One direction', 'list of one direction concert tours', 'just can t let her go', 'ONE DIRECTION', '1d in 3d', 'Onedirection', 'onedirection', 'List of One Direction concert tours', '1D in 3D', 'one direction', 'Directioners', 'One Direction (boy band)']","Answer the trivia question concisely with the best short answer.
Question: Which pop group did Zayn Malik leave in March 2015?
Answer:",One Direction.,0.2110891342163086,"{""answer"": ""One Direction."", ""uncertainty_score"": 0.2110891342163086}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Who painted 'Girl With A White Dog'found in the Tate London?,odql_7131,http://www.odquiz.org.uk/,"['lucian freud painter', 'Lucian Freud-painter', 'Lucien Freud', 'lucian freud', 'lucien freud', 'Lucian Michael Freud', 'lucian michael freud', 'LUCIEN FREUD', 'Lucian Freud']","Answer the trivia question concisely with the best short answer.
Question: Who painted 'Girl With A White Dog'found in the Tate London?
Answer:",Henri Matisse.,2.526641845703125,"{""answer"": ""Henri Matisse."", ""uncertainty_score"": 2.526641845703125}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
It was announced in April 2007 that Lord Justice Scott Baker would replace Baroness Butler-Sloss in what position?,bb_7375,http://www.businessballs.com/,"['coroner at inquests into deaths of princess diana and dodi al fayed', 'Coroner at the inquests into the deaths of Princess Diana and Dodi Al Fayed']","Answer the trivia question concisely with the best short answer.
Question: It was announced in April 2007 that Lord Justice Scott Baker would replace Baroness Butler-Sloss in what position?
Answer:",Lord Chief Justice.,2.554328203201294,"{""answer"": ""Lord Chief Justice."", ""uncertainty_score"": 2.554328203201294}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Who wrote the book A Brief History Of Time?,qz_70,https://www.quiz-zone.co.uk/,"['Steven Hawkings', 'Isobel Hawking', 'Stephen W. Hawking', 'stephen hawking space', 'isobel hawking', 'Top-down cosmology', 'hawking stephen william', 'Steven hawkin', 'stephen hawkings', 'Steveen Hawking', 'stephen hawking', 'frank hawking', 'hawking stephen', 'Frank Hawking', 'Steven W. Hawking', 'Hawking, Stephen', 'top down cosmology', 'Stephen hawking', 'Stephen hawkings', 'stephen william hawking', 'steven hawking', 'steven hawkings', 'stephan hawking', 'steven hawkins', 'S. W. Hawking', 'Steve Hawking', 'Stephen Hawkings', 'Stephen Hawking Space', 's w hawking', 'steven w hawking', 'Stephen hawkins', 'steve hawking', 'Stephen William Hawking', 'stephen hawkins', 'Stephen hawkin', 'steveen hawking', 'Hawking, Stephen William', 'Stephan hawking', 'Steven Hawkins', 'stephen hawkin', 'Steven Hawking', 'steven hawkin', 'Steven hawking', 'stephen w hawking', 'Stephen Hawking', 'S.W. Hawking']","Answer the trivia question concisely with the best short answer.
Question: Who wrote the book A Brief History Of Time?
Answer:",Stephen Hawking.,0.2988458275794983,"{""answer"": ""Stephen Hawking."", ""uncertainty_score"": 0.2988458275794983}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
In golf what is the trophy contested for between teams of amateur women from the United States and Europe?,sfq_14823,www.sfquiz.org.uk,"['curtis cup', 'Curtis Cup', 'CURTIS CUP']","Answer the trivia question concisely with the best short answer.
Question: In golf what is the trophy contested for between teams of amateur women from the United States and Europe?
Answer:",The Solheim Cup.,1.3365706205368042,"{""answer"": ""The Solheim Cup."", ""uncertainty_score"": 1.3365706205368042}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Hircine refers to being like or related to what creature?,bb_3560,http://www.businessballs.com/,"['He-goat', 'Domestic Goat', 'Nanny goat', 'domestic goat', 'Dairy goat', 'goatfighting', 'she goats', 'billygoat', 'Nanny Goat', '🐐', 'billy goat', 'goatry', 'goat s milk', ""Goats' milk"", 'Goat penis', 'Domestic goat', 'goat milk', 'he goat', 'goats milk', 'goat', 'domestic goats', ""Goat's milk"", 'kid goat', 'billies', 'capra hircus', 'goat penis', 'Billygoat', 'Domestic goats', 'Goat', 'Dairy Goats', 'Capra aegagrus hircus', 'Billy Goat', 'goats', 'nanny goat', 'dairy goats', 'Billy goat', 'She-Goat', 'Goats', 'She-goats', 'Goatry', 'She goats', 'capra aegagrus hircus', 'she goat', 'dairy goat', 'Goatfighting', 'Billies', 'Goat milk', 'Kid (goat)', 'Capra hircus', 'She goat']","Answer the trivia question concisely with the best short answer.
Question: Hircine refers to being like or related to what creature?
Answer:","Hircine refers to being like or related to a horse. The term is derived from the Latin word ""hircus,"" meaning ""stallion."" It is often used in the context of the plague, particularly in relation to the Black Death, which was said to have killed off a large portion of the horse population, leading to a shortage of horses and a significant impact on the economy and society.",52.88507843017578,"{""answer"": ""Hircine refers to being like or related to a horse. The term is derived from the Latin word 'hircus,' meaning 'stallion.' It is often used in the context of the plague, particularly in relation to the Black Death, which was said to have killed off a large portion of the horse population, leading to a shortage of horses and a significant impact on the economy and society."", ""uncertainty_score"": 52.88507843017578}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
"Who is the only Formula 1, World Motor Racing Champion that represented an African country?",odql_6738,http://www.odquiz.org.uk/,"['JODY SCHECKTER', 'Jody Schecter', 'Jody Scheckter', 'Jody David Scheckter', 'Jody Schekter', 'jody schecter', 'jody david scheckter', 'jody schekter', 'jody scheckter']","Answer the trivia question concisely with the best short answer.
Question: Who is the only Formula 1, World Motor Racing Champion that represented an African country?
Answer:",Ayrton Senna.,2.954115867614746,"{""answer"": ""Ayrton Senna."", ""uncertainty_score"": 2.954115867614746}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Which North-west town or city has a daily newspaper called the Evening Leader?,sfq_2932,www.sfquiz.org.uk,"['legacæstir', 'County Borough of Chester', 'chester', 'Cestrian', 'chester england', 'cestrians', 'cestrian', ""St Clare's Catholic Primary School (Chester)"", 'Chester, Cheshire', 'Legacæstir', 'county borough of chester', 'Chester', 'Cestrians', 'st clare s catholic primary school chester', 'chester cheshire', 'Chester, England']","Answer the trivia question concisely with the best short answer.
Question: Which North-west town or city has a daily newspaper called the Evening Leader?
Answer:",St Helens.,5.365101337432861,"{""answer"": ""St Helens."", ""uncertainty_score"": 5.365101337432861}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Which singer songwriter's new album is called Some Kind Of Trouble'. He made his name with his debut album Back to Bedlam' in 2005?,qz_4137,https://www.quiz-zone.co.uk/,"['james blunt', 'James Hillier Blount', 'James blunt', 'blunt james', 'Blunty', 'James bLUNT', 'JAMES BLUNT', 'James Blunt', 'blunty', 'james hillier blount', 'Blunt, James']","Answer the trivia question concisely with the best short answer.
Question: Which singer songwriter's new album is called Some Kind Of Trouble'. He made his name with his debut album Back to Bedlam' in 2005?
Answer:",James Blunt.,2.4670612812042236,"{""answer"": ""James Blunt."", ""uncertainty_score"": 2.4670612812042236}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Which British monarch produced the most legitimate children?,sfq_4183,www.sfquiz.org.uk,"['Lord Paramount of Scotland', 'Overlord of Scotland', 'EDWARD I', 'King Edward 1st', 'Malleus Scotorum', 'Edward i of england', 'overlord of scotland', 'Edward I of England', 'king edward i', 'Edward I Plantagenet', 'Edward I', 'longshanks', 'edward i', 'edward i england', 'lord paramount of scotland', 'edward longshanks', 'Edward the First', 'King Edward I', 'Longshanks', 'king edward i of england', 'Edward Longshanks, Hammer of the Scots', 'Edward I, King of the English', 'edward i king of english', 'Edward the Longshanks', 'edward i plantagenet', 'king edward 1st', 'Edward 1', 'edward i king of england', 'Edward I, King of England', 'edward first', 'edward 1', 'King Edward I of England', 'Edward I Longshanks', 'Edward I Longshanks of England', 'Edward I (England)', 'edward i longshanks', 'edward i of england', 'malleus scotorum', 'edward i longshanks of england', 'edward longshanks hammer of scots', 'Edward Longshanks']","Answer the trivia question concisely with the best short answer.
Question: Which British monarch produced the most legitimate children?
Answer:","Queen Victoria. 

Explanation: Queen Victoria had nine children with her husband Prince Albert. All nine of her children survived to adulthood. This is a notable achievement, especially considering the high mortality rates of the time. Queen Victoria's children went on to produce many descendants, including the current British royal family. 

Note: The question is asking for the British monarch who produced the most legitimate children, not the most children overall. Legitimate children are those born within marriage. Queen Victoria's children with Prince Albert",56.0706901550293,"{""answer"": ""Queen Victoria. \n\nExplanation: Queen Victoria had nine children with her husband Prince Albert. All nine of her children survived to adulthood. This is a notable achievement, especially considering the high mortality rates of the time. Queen Victoria's children went on to produce many descendants, including the current British royal family. \n\nNote: The question is asking for the British monarch who produced the most legitimate children, not the most children overall. Legitimate children are those born within marriage. Queen Victoria's children with Prince Albert"", ""uncertainty_score"": 56.0706901550293}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?",bb_985,http://www.businessballs.com/,"['richard stanley francis', 'Shattered (Dick Francis novel)', 'Dick Francis', 'Richard Stanley Francis', 'dick francis', 'shattered dick francis novel', 'Shattered (Dick Francis Novel)']","Answer the trivia question concisely with the best short answer.
Question: Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?
Answer:","Ben Johnson.
Explanation: Ben Johnson was a Canadian writer, who died in 2010. He was also a jockey, who rode Devon Loch in the 1956 Grand National, when the horse inexplicably fell. Johnson was subsequently stripped of his Grand National victory. Johnson was also a novelist, who wrote the popular ""Samson and Delilah"" series. He was a Canadian writer, who died in 2010. He was also a jockey, who rode Devon Loch",74.77217102050781,"{""answer"": ""Ben Johnson.\nExplanation: Ben Johnson was a Canadian writer, who died in 2010. He was also a jockey, who rode Devon Loch in the 1956 Grand National, when the horse inexplicably fell. Johnson was subsequently stripped of his Grand National victory. Johnson was also a novelist, who wrote the popular 'Samson and Delilah' series. He was a Canadian writer, who died in 2010. He was also a jockey, who rode Devon Loch"", ""uncertainty_score"": 74.77217102050781}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
"Which politician was portrayed in the satirical magazine, Private Eye, as The Vicar of St Albion?",sfq_1661,www.sfquiz.org.uk,"['Rt. Hon Tony Blair', 'Toney Blair', 'Tony Balir', 'Tony Blari', 'Blairian', 'anthony tony blair', 'tonyblair', 'Tony Bliar', 'Herr Blair', 'tony blairs', 'tony balir', 'anthony charles lynton 22tony 22 blair', 'toney blair', 'Prime Minister Tony Blair', 'education education education', 'Tory Blair', 'Tony Blear', 'Anthony Charles Lynton Blair', 'Education, education, education', 'rt hon anthony charles lynton blair', 'Anthony (Tony) Blair', 'tony bliar', 'Antony blair', 'rt hon anthony blair mp', 'anthony c l blair', 'Tony Blare', 'tory blair', 'anthony charles lynton blair', 'tony blari', 'Tonyblair', 'Family of Tony Blair', ""Tony Blair's Private life"", 'The Tony Blair Sports Foundation', 'Tony Blaire', 'president blair', 'tony blair', 'antony blair', 'Anthony C. L. Blair', 'education education and education', 'Anthony Charles Lynton %22Tony%22 Blair', 'tony blaer', 'tony blair s private life', 'blairian', 'tony blair pm', 'Tony blair', 'Tony Blaer', 'blair doctrine', 'Anthony Charles Blair', 'Tony Blair PM', 'Tony Blair Sports Foundation', 'Rt Hon Anthony Blair MP', 'Education, education and education', 'TONY BLAIR', 'tonie blair', 'Blair doctrine', 'tony blare', 'rt hon tony blair', 'President Blair', 'Tonie Blair', 'Antony Blair', 'Tony Blairs', 'tony blear', 'herr blair', 'tony blaire', 'Tony Blair', ""Tony Blair's private life"", 'prime minister tony blair', 'tony blair sports foundation', 'anthony charles blair', 'family of tony blair', 'Rt. Hon. Anthony Charles Lynton Blair']","Answer the trivia question concisely with the best short answer.
Question: Which politician was portrayed in the satirical magazine, Private Eye, as The Vicar of St Albion?
Answer:",Harold Wilson.,3.7643871307373047,"{""answer"": ""Harold Wilson."", ""uncertainty_score"": 3.7643871307373047}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
The hunters phrase 'Big Five game' refers to what five African animals?,tb_883,http://triviabug.com/q-and-a-quizzes/,"['Lion, African elephant, African buffalo, leopard and black rhino', 'lion african elephant african buffalo leopard and black rhino']","Answer the trivia question concisely with the best short answer.
Question: The hunters phrase 'Big Five game' refers to what five African animals?
Answer:","Lion, Elephant, Buffalo, Leopard, Rhinoceros.",3.262418746948242,"{""answer"": ""Lion, Elephant, Buffalo, Leopard, Rhinoceros."", ""uncertainty_score"": 3.262418746948242}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
What bird was first released by Noah?,qz_5395,https://www.quiz-zone.co.uk/,"['ravin', 'raven bird', 'Raven (bird)', 'raven', 'corbies', 'Raven', 'Ravin', 'Corbies']","Answer the trivia question concisely with the best short answer.
Question: What bird was first released by Noah?
Answer:",Dove.,0.5734793543815613,"{""answer"": ""Dove."", ""uncertainty_score"": 0.5734793543815613}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
Which sport requires an oval pitch and an oval ball?,sfq_2934,www.sfquiz.org.uk,"['Australian Rules handegg', 'australian football', 'footy practice', 'Styles of kicking', 'Kicking (Australian rules football)', 'Australian Rules Football', 'victorian rules football', 'Rules Football', 'Australian rules football', 'styles of kicking', 'australia rules football', 'Aussie Football', 'Australian rules soccer', 'aussie rules football', 'Aussie Rules Football', 'Australia rules football', 'australian rules football', 'Aussie Rules', 'Australian Rules Handegg', 'Victorian rules football', 'Clearance (Australian rules football)', 'Footy practice', 'Australian football/version 2', 'Australian-rules football', 'Aussie rules', 'Australian Handegg', 'australian rules', 'aussie football', 'australian rules soccer', 'aussie rules', 'Football (Australian rules)', 'australian football version 2', 'Australian Football', 'australian rules footballer', 'australian rules handegg', 'Australian rules footballer', 'Australian rules handegg', 'kicking australian rules football', 'rules football', 'Australian rules', 'Australian handegg', 'Australian Rules football', 'Aussie rules football', 'Australian Rules', 'clearance australian rules football', 'Australian football', 'australian handegg', 'football australian rules']","Answer the trivia question concisely with the best short answer.
Question: Which sport requires an oval pitch and an oval ball?
Answer:",Cricket.,0.43954265117645264,"{""answer"": ""Cricket."", ""uncertainty_score"": 0.43954265117645264}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
"On TV and in film who are Neil, Simon, Will and Jay?",dpql_3628,https://derbyshirepubquizleague.wordpress.com/,"['Mark Donovan (The Inbetweeners)', 'The in-betweeners', 'christopher young producer', 'In betweeners', 'In-betweeners', 'Christopher Young (producer)', 'The Inbetweeners (TV series)', 'inbetweeners', 'The Inbetweeners', 'mark donovan inbetweeners', 'inbetweeners tv series', 'in betweeners', 'Inbetweeners', 'The inbetweeners']","Answer the trivia question concisely with the best short answer.
Question: On TV and in film who are Neil, Simon, Will and Jay?
Answer:","The Four Seasons. 
Explanation: The Four Seasons were a popular American rock band that had many hit songs, including ""Walk Like a Man"", ""Sherry"", ""Big Girls Don't Cry"", and ""Can't Take My Eyes Off You"". The band consisted of Neil Donell, Simon Carli, Will Juarez, and Jay Lerner. They were known for their catchy pop-rock sound and energetic live performances. The Four Seasons were one of the most successful and influential bands of the",51.479557037353516,"{""answer"": ""The Four Seasons. \nExplanation: The Four Seasons were a popular American rock band that had many hit songs, including 'Walk Like a Man', 'Sherry', 'Big Girls Don't Cry', and 'Can't Take My Eyes Off You'. The band consisted of Neil Donell, Simon Carli, Will Juarez, and Jay Lerner. They were known for their catchy pop-rock sound and energetic live performances. The Four Seasons were one of the most successful and influential bands of the"", ""uncertainty_score"": 51.479557037353516}",trivia,meta-llama/Llama-3.2-3B-Instruct,MaximumSequenceProbability,cocoa_v1,2025-08-30 11:20:04
