question,question_id,question_source,answers,input_text,model_answer,uncertainty_score,model_output,dataset,model_id,ue_method,schema_version,timestamp
What is the more common name of the medical condition 'Otalgia'?,odql_2067,http://www.odquiz.org.uk/,"['Otalgia', 'Ipsilateral earache', 'ipsilateral earache', 'Ear pain', 'Earache', 'ear ache', 'EARACHE', 'ear pain', 'otalgia', 'Ear ache', 'earache']","Answer the trivia question concisely with the best short answer.
Question: What is the more common name of the medical condition 'Otalgia'?
Answer:",Earache.,0.6269832253456116,"{""answer"": ""Earache."", ""uncertainty_score"": 0.6269832253456116}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Name a year in Lord Liverpool's tenure as Prime Minister.,sfq_3276,www.sfquiz.org.uk,"['1812-1827', '1812 1827']","Answer the trivia question concisely with the best short answer.
Question: Name a year in Lord Liverpool's tenure as Prime Minister.
Answer:",1822.,1.2344131469726562,"{""answer"": ""1822."", ""uncertainty_score"": 1.2344131469726562}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Which pop group did Zayn Malik leave in March 2015?,sfq_24997,www.sfquiz.org.uk,"['One Chance to Dance', 'Directioner', 'directioners', 'ONE DIRECTION', '1D Day', 'directioner', 'One Direction', 'List of One Direction concert tours', '1direction', 'list of one direction concert tours', 'one direction boy band', 'One Direction merchandise', 'One Direction (boy band)', 'onedirection', 'just can t let her go', 'one direction merchandise', '1Direction', 'Onedirection', 'one chance to dance', '1D in 3D', '1d day', 'Directioners', '1 Direction', 'One direction', '1d in 3d', '1 direction', ""Just Can't Let Her Go"", 'one direction']","Answer the trivia question concisely with the best short answer.
Question: Which pop group did Zayn Malik leave in March 2015?
Answer:",One Direction.,0.042527079582214355,"{""answer"": ""One Direction."", ""uncertainty_score"": 0.042527079582214355}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Who painted 'Girl With A White Dog'found in the Tate London?,odql_7131,http://www.odquiz.org.uk/,"['lucien freud', 'Lucian Freud', 'Lucien Freud', 'lucian freud', 'LUCIEN FREUD', 'Lucian Michael Freud', 'Lucian Freud-painter', 'lucian michael freud', 'lucian freud painter']","Answer the trivia question concisely with the best short answer.
Question: Who painted 'Girl With A White Dog'found in the Tate London?
Answer:",Henri Matisse.,1.9339592456817627,"{""answer"": ""Henri Matisse."", ""uncertainty_score"": 1.9339592456817627}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
It was announced in April 2007 that Lord Justice Scott Baker would replace Baroness Butler-Sloss in what position?,bb_7375,http://www.businessballs.com/,"['coroner at inquests into deaths of princess diana and dodi al fayed', 'Coroner at the inquests into the deaths of Princess Diana and Dodi Al Fayed']","Answer the trivia question concisely with the best short answer.
Question: It was announced in April 2007 that Lord Justice Scott Baker would replace Baroness Butler-Sloss in what position?
Answer:",Lord Chief Justice.,1.563207745552063,"{""answer"": ""Lord Chief Justice."", ""uncertainty_score"": 1.563207745552063}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Who wrote the book A Brief History Of Time?,qz_70,https://www.quiz-zone.co.uk/,"['stephen hawkin', 'hawking stephen william', 'Stephen W. Hawking', 'Stephen Hawking', 's w hawking', 'steven w hawking', 'top down cosmology', 'stephan hawking', 'Isobel Hawking', 'Stephen William Hawking', 'Stephen hawkin', 'stephen hawkings', 'stephen hawking space', 'Steveen Hawking', 'isobel hawking', 'Steven Hawkins', 'steven hawkings', 'stephen hawkins', 'stephen william hawking', 'steven hawkins', 'steve hawking', 'Steven hawkin', 'Top-down cosmology', 'S. W. Hawking', 'hawking stephen', 'Stephen Hawkings', 'stephen w hawking', 'Stephen hawking', 'Steve Hawking', 'Steven Hawkings', 'steven hawking', 'S.W. Hawking', 'Stephan hawking', 'Stephen hawkings', 'steveen hawking', 'stephen hawking', 'steven hawkin', 'Frank Hawking', 'Stephen hawkins', 'Stephen Hawking Space', 'Steven Hawking', 'Steven W. Hawking', 'Hawking, Stephen William', 'Steven hawking', 'frank hawking', 'Hawking, Stephen']","Answer the trivia question concisely with the best short answer.
Question: Who wrote the book A Brief History Of Time?
Answer:",Stephen Hawking.,0.028007691726088524,"{""answer"": ""Stephen Hawking."", ""uncertainty_score"": 0.028007691726088524}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
In golf what is the trophy contested for between teams of amateur women from the United States and Europe?,sfq_14823,www.sfquiz.org.uk,"['curtis cup', 'Curtis Cup', 'CURTIS CUP']","Answer the trivia question concisely with the best short answer.
Question: In golf what is the trophy contested for between teams of amateur women from the United States and Europe?
Answer:",The Solheim Cup.,0.25290560722351074,"{""answer"": ""The Solheim Cup."", ""uncertainty_score"": 0.25290560722351074}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Hircine refers to being like or related to what creature?,bb_3560,http://www.businessballs.com/,"['She-Goat', 'billygoat', 'goats milk', ""Goat's milk"", 'Billies', 'Goat milk', 'goatry', 'She goat', 'she goat', 'Capra hircus', 'kid goat', 'billy goat', 'Goats', 'Domestic goats', 'Domestic goat', 'Domestic Goat', 'Capra aegagrus hircus', 'Billy goat', 'she goats', 'billies', 'nanny goat', 'goatfighting', 'She-goats', 'Billygoat', 'Dairy Goats', 'Goat', 'Goat penis', 'She goats', ""Goats' milk"", 'goats', 'Kid (goat)', 'goat milk', 'he goat', 'capra hircus', 'Goatry', '🐐', 'dairy goats', 'Nanny Goat', 'goat penis', 'He-goat', 'domestic goat', 'goat', 'Nanny goat', 'Billy Goat', 'Goatfighting', 'goat s milk', 'dairy goat', 'capra aegagrus hircus', 'Dairy goat', 'domestic goats']","Answer the trivia question concisely with the best short answer.
Question: Hircine refers to being like or related to what creature?
Answer:","Hircine refers to being like or related to a horse. The term is derived from the Latin word ""hircus,"" meaning ""stallion."" It is often used in the context of the plague, particularly in relation to the Black Death, which was said to have killed off a large portion of the horse population, leading to a shortage of horses and a significant impact on the economy and society.",31.616592407226562,"{""answer"": ""Hircine refers to being like or related to a horse. The term is derived from the Latin word 'hircus,' meaning 'stallion.' It is often used in the context of the plague, particularly in relation to the Black Death, which was said to have killed off a large portion of the horse population, leading to a shortage of horses and a significant impact on the economy and society."", ""uncertainty_score"": 31.616592407226562}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
"Who is the only Formula 1, World Motor Racing Champion that represented an African country?",odql_6738,http://www.odquiz.org.uk/,"['jody schekter', 'Jody Schekter', 'jody schecter', 'Jody Schecter', 'jody scheckter', 'jody david scheckter', 'JODY SCHECKTER', 'Jody David Scheckter', 'Jody Scheckter']","Answer the trivia question concisely with the best short answer.
Question: Who is the only Formula 1, World Motor Racing Champion that represented an African country?
Answer:",Ayrton Senna.,1.8019367456436157,"{""answer"": ""Ayrton Senna."", ""uncertainty_score"": 1.8019367456436157}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Which North-west town or city has a daily newspaper called the Evening Leader?,sfq_2932,www.sfquiz.org.uk,"['Chester', 'cestrians', 'Cestrians', ""St Clare's Catholic Primary School (Chester)"", 'Chester, Cheshire', 'County Borough of Chester', 'chester cheshire', 'chester england', 'county borough of chester', 'chester', 'Legacæstir', 'cestrian', 'st clare s catholic primary school chester', 'Chester, England', 'Cestrian', 'legacæstir']","Answer the trivia question concisely with the best short answer.
Question: Which North-west town or city has a daily newspaper called the Evening Leader?
Answer:",St Helens.,3.839380979537964,"{""answer"": ""St Helens."", ""uncertainty_score"": 3.839380979537964}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Which singer songwriter's new album is called Some Kind Of Trouble'. He made his name with his debut album Back to Bedlam' in 2005?,qz_4137,https://www.quiz-zone.co.uk/,"['JAMES BLUNT', 'james hillier blount', 'blunt james', 'james blunt', 'blunty', 'Blunty', 'Blunt, James', 'James blunt', 'James Hillier Blount', 'James Blunt', 'James bLUNT']","Answer the trivia question concisely with the best short answer.
Question: Which singer songwriter's new album is called Some Kind Of Trouble'. He made his name with his debut album Back to Bedlam' in 2005?
Answer:",James Blunt.,1.475693941116333,"{""answer"": ""James Blunt."", ""uncertainty_score"": 1.475693941116333}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Which British monarch produced the most legitimate children?,sfq_4183,www.sfquiz.org.uk,"['Edward I Longshanks of England', 'Edward I Plantagenet', 'edward i longshanks of england', 'king edward i of england', 'Lord Paramount of Scotland', 'edward i', 'King Edward I', 'Edward Longshanks, Hammer of the Scots', 'edward i king of england', 'edward i of england', 'Edward i of england', 'Edward I Longshanks', 'Edward I, King of England', 'longshanks', 'Edward the Longshanks', 'edward i plantagenet', 'edward 1', 'Malleus Scotorum', 'edward first', 'edward longshanks', 'malleus scotorum', 'King Edward 1st', 'Longshanks', 'Edward the First', 'King Edward I of England', 'lord paramount of scotland', 'edward i king of english', 'EDWARD I', 'Edward I, King of the English', 'Edward I', 'king edward 1st', 'king edward i', 'overlord of scotland', 'Edward 1', 'Overlord of Scotland', 'Edward I of England', 'edward i longshanks', 'edward i england', 'Edward Longshanks', 'Edward I (England)', 'edward longshanks hammer of scots']","Answer the trivia question concisely with the best short answer.
Question: Which British monarch produced the most legitimate children?
Answer:","Queen Victoria. 

Explanation: Queen Victoria had nine children with her husband Prince Albert. All nine of her children survived to adulthood. This is a notable achievement, especially considering the high mortality rates of the time. Queen Victoria's children went on to produce many descendants, including the current British royal family. 

Note: The question is asking for the British monarch who produced the most legitimate children, not the most children overall. Legitimate children are those born within marriage. Queen Victoria's children with Prince Albert",26.42938804626465,"{""answer"": ""Queen Victoria. \n\nExplanation: Queen Victoria had nine children with her husband Prince Albert. All nine of her children survived to adulthood. This is a notable achievement, especially considering the high mortality rates of the time. Queen Victoria's children went on to produce many descendants, including the current British royal family. \n\nNote: The question is asking for the British monarch who produced the most legitimate children, not the most children overall. Legitimate children are those born within marriage. Queen Victoria's children with Prince Albert"", ""uncertainty_score"": 26.42938804626465}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?",bb_985,http://www.businessballs.com/,"['dick francis', 'Shattered (Dick Francis novel)', 'Dick Francis', 'richard stanley francis', 'Richard Stanley Francis', 'Shattered (Dick Francis Novel)', 'shattered dick francis novel']","Answer the trivia question concisely with the best short answer.
Question: Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?
Answer:","Ben Johnson.
Explanation: Ben Johnson was a Canadian writer, who died in 2010. He was also a jockey, who rode Devon Loch in the 1956 Grand National, when the horse inexplicably fell. Johnson was subsequently stripped of his Grand National victory. Johnson was also a novelist, who wrote the popular ""Samson and Delilah"" series. He was a Canadian writer, who died in 2010. He was also a jockey, who rode Devon Loch",32.62118148803711,"{""answer"": ""Ben Johnson.\nExplanation: Ben Johnson was a Canadian writer, who died in 2010. He was also a jockey, who rode Devon Loch in the 1956 Grand National, when the horse inexplicably fell. Johnson was subsequently stripped of his Grand National victory. Johnson was also a novelist, who wrote the popular 'Samson and Delilah' series. He was a Canadian writer, who died in 2010. He was also a jockey, who rode Devon Loch"", ""uncertainty_score"": 32.62118148803711}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
"Which politician was portrayed in the satirical magazine, Private Eye, as The Vicar of St Albion?",sfq_1661,www.sfquiz.org.uk,"['Tony Blari', 'Tony Bliar', 'anthony charles lynton 22tony 22 blair', 'Tonyblair', 'Antony blair', 'Antony Blair', 'tony blairs', 'Tony Blairs', 'Tony Blaire', 'Anthony Charles Lynton Blair', 'Rt. Hon. Anthony Charles Lynton Blair', 'Family of Tony Blair', 'Tony Blair Sports Foundation', 'Anthony Charles Lynton %22Tony%22 Blair', 'Tony Blear', 'President Blair', 'Tony Balir', 'tony blear', 'Prime Minister Tony Blair', 'tory blair', 'Blairian', 'education education education', 'The Tony Blair Sports Foundation', 'anthony charles lynton blair', 'TONY BLAIR', 'prime minister tony blair', 'toney blair', 'Education, education, education', 'education education and education', 'president blair', ""Tony Blair's private life"", 'Tony blair', 'Education, education and education', 'Anthony (Tony) Blair', 'tony blair pm', 'tony bliar', 'family of tony blair', 'tony blair', 'Tory Blair', ""Tony Blair's Private life"", 'tony blari', 'Toney Blair', 'rt hon anthony blair mp', 'Anthony Charles Blair', 'Rt. Hon Tony Blair', 'antony blair', 'Tony Blair PM', 'tony balir', 'tony blair sports foundation', 'blair doctrine', 'rt hon anthony charles lynton blair', 'tony blaire', 'anthony c l blair', 'tony blair s private life', 'Herr Blair', 'Tony Blaer', 'Tony Blare', 'Blair doctrine', 'Tonie Blair', 'Tony Blair', 'anthony charles blair', 'tony blare', 'tony blaer', 'Anthony C. L. Blair', 'tonie blair', 'tonyblair', 'Rt Hon Anthony Blair MP', 'blairian', 'rt hon tony blair', 'herr blair', 'anthony tony blair']","Answer the trivia question concisely with the best short answer.
Question: Which politician was portrayed in the satirical magazine, Private Eye, as The Vicar of St Albion?
Answer:",Harold Wilson.,2.7207202911376953,"{""answer"": ""Harold Wilson."", ""uncertainty_score"": 2.7207202911376953}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
The hunters phrase 'Big Five game' refers to what five African animals?,tb_883,http://triviabug.com/q-and-a-quizzes/,"['lion african elephant african buffalo leopard and black rhino', 'Lion, African elephant, African buffalo, leopard and black rhino']","Answer the trivia question concisely with the best short answer.
Question: The hunters phrase 'Big Five game' refers to what five African animals?
Answer:","Lion, Elephant, Buffalo, Leopard, Rhinoceros.",0.9476046562194824,"{""answer"": ""Lion, Elephant, Buffalo, Leopard, Rhinoceros."", ""uncertainty_score"": 0.9476046562194824}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
What bird was first released by Noah?,qz_5395,https://www.quiz-zone.co.uk/,"['corbies', 'raven bird', 'Ravin', 'Raven (bird)', 'Corbies', 'raven', 'Raven', 'ravin']","Answer the trivia question concisely with the best short answer.
Question: What bird was first released by Noah?
Answer:",Dove.,0.2717313766479492,"{""answer"": ""Dove."", ""uncertainty_score"": 0.2717313766479492}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
Which sport requires an oval pitch and an oval ball?,sfq_2934,www.sfquiz.org.uk,"['Victorian rules football', 'Australian Handegg', 'australian rules football', 'Aussie Football', 'Australian football/version 2', 'Australian Rules Handegg', 'Australian Rules Football', 'Australian Football', 'Australia rules football', 'aussie rules football', 'Australian rules handegg', 'styles of kicking', 'rules football', 'Clearance (Australian rules football)', 'Australian Rules football', 'Australian rules footballer', 'Aussie rules', 'Aussie Rules', 'australian rules footballer', 'Rules Football', 'footy practice', 'football australian rules', 'Australian handegg', 'Footy practice', 'kicking australian rules football', 'Football (Australian rules)', 'australian rules soccer', 'aussie football', 'Australian Rules handegg', 'australian football version 2', 'Styles of kicking', 'Aussie rules football', 'Kicking (Australian rules football)', 'Australian-rules football', 'Australian rules soccer', 'australia rules football', 'clearance australian rules football', 'australian football', 'australian handegg', 'Aussie Rules Football', 'Australian Rules', 'australian rules handegg', 'Australian rules', 'aussie rules', 'Australian football', 'australian rules', 'victorian rules football', 'Australian rules football']","Answer the trivia question concisely with the best short answer.
Question: Which sport requires an oval pitch and an oval ball?
Answer:",Cricket.,0.09792682528495789,"{""answer"": ""Cricket."", ""uncertainty_score"": 0.09792682528495789}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
"On TV and in film who are Neil, Simon, Will and Jay?",dpql_3628,https://derbyshirepubquizleague.wordpress.com/,"['In-betweeners', 'inbetweeners tv series', 'Christopher Young (producer)', 'christopher young producer', 'Mark Donovan (The Inbetweeners)', 'The Inbetweeners (TV series)', 'Inbetweeners', 'The Inbetweeners', 'in betweeners', 'inbetweeners', 'In betweeners', 'The inbetweeners', 'mark donovan inbetweeners', 'The in-betweeners']","Answer the trivia question concisely with the best short answer.
Question: On TV and in film who are Neil, Simon, Will and Jay?
Answer:","The Four Seasons. 
Explanation: The Four Seasons were a popular American rock band that had many hit songs, including ""Walk Like a Man"", ""Sherry"", ""Big Girls Don't Cry"", and ""Can't Take My Eyes Off You"". The band consisted of Neil Donell, Simon Carli, Will Juarez, and Jay Lerner. They were known for their catchy pop-rock sound and energetic live performances. The Four Seasons were one of the most successful and influential bands of the",27.404197692871094,"{""answer"": ""The Four Seasons. \nExplanation: The Four Seasons were a popular American rock band that had many hit songs, including 'Walk Like a Man', 'Sherry', 'Big Girls Don't Cry', and 'Can't Take My Eyes Off You'. The band consisted of Neil Donell, Simon Carli, Will Juarez, and Jay Lerner. They were known for their catchy pop-rock sound and energetic live performances. The Four Seasons were one of the most successful and influential bands of the"", ""uncertainty_score"": 27.404197692871094}",trivia,meta-llama/Llama-3.2-3B-Instruct,CocoaMSP,cocoa_v1,2025-08-12 21:18:31
