question,title,answer,passage,context,input_text,model_output,model_answer,uncertainty_score,ground_truth,match
are billy and nora from the thundermans twins,List of The Thundermans characters,False,"Billy Thunderman (Diego Velazquez) is the third-born Thunderman child. He is an energetic little brother to Phoebe and Max and older brother to Nora and Chloe. His superpower is super-speed. In one episode, it was revealed that Barb gave birth to Billy in the air while her husband was transporting her to a hospital, implying that Billy likely hit his head after birth, which is probably why he is sometimes unintelligent.","Billy Thunderman (Diego Velazquez) is the third-born Thunderman child. He is an energetic little brother to Phoebe and Max and older brother to Nora and Chloe. His superpower is super-speed. In one episode, it was revealed that Barb gave birth to Billy in the air while her husband was transporting her to a hospital, implying that Billy likely hit his head after birth, which is probably why he is sometimes unintelligent.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: Billy Thunderman (Diego Velazquez) is the third-born Thunderman child. He is an energetic little brother to Phoebe and Max and older brother to Nora and Chloe. His superpower is super-speed. In one episode, it was revealed that Barb gave birth to Billy in the air while her husband was transporting her to a hospital, implying that Billy likely hit his head after birth, which is probably why he is sometimes unintelligent.
Question: are billy and nora from the thundermans twins","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: no",1.8304970264434814,false,False
will there be a 6th season of once upon a time,Once Upon a Time (season 6),True,"The sixth season of the American ABC fantasy-drama Once Upon a Time was ordered on March 3, 2016. It debuted on September 25, 2016, and concluded on May 14, 2017. In January 2017, it was stated that the sixth season would end the main storyline, and for a seventh season, the series would be softly rebooted with a new storyline.","The sixth season of the American ABC fantasy-drama Once Upon a Time was ordered on March 3, 2016. It debuted on September 25, 2016, and concluded on May 14, 2017. In January 2017, it was stated that the sixth season would end the main storyline, and for a seventh season, the series would be softly rebooted with a new storyline.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: The sixth season of the American ABC fantasy-drama Once Upon a Time was ordered on March 3, 2016. It debuted on September 25, 2016, and concluded on May 14, 2017. In January 2017, it was stated that the sixth season would end the main storyline, and for a seventh season, the series would be softly rebooted with a new storyline.
Question: will there be a 6th season of once upon a time","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: yes",1.4594311714172363,true,False
can you breed a zebra and a horse,Zebroid,True,"A zebroid (also zedonk, zenkey, zorse, zebra mule, zonkey, and zebmule) is the offspring of any cross between a zebra and any other equine: essentially, a zebra hybrid. In most cases, the sire is a zebra stallion. Offspring of a donkey sire and zebra dam, called a zebra hinny, or donkra, do exist but are rare and are usually sterile and infertile. Zebroids have been bred since the 19th century. Charles Darwin noted several zebra hybrids in his works.","A zebroid (also zedonk, zenkey, zorse, zebra mule, zonkey, and zebmule) is the offspring of any cross between a zebra and any other equine: essentially, a zebra hybrid. In most cases, the sire is a zebra stallion. Offspring of a donkey sire and zebra dam, called a zebra hinny, or donkra, do exist but are rare and are usually sterile and infertile. Zebroids have been bred since the 19th century. Charles Darwin noted several zebra hybrids in his works.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: A zebroid (also zedonk, zenkey, zorse, zebra mule, zonkey, and zebmule) is the offspring of any cross between a zebra and any other equine: essentially, a zebra hybrid. In most cases, the sire is a zebra stallion. Offspring of a donkey sire and zebra dam, called a zebra hinny, or donkra, do exist but are rare and are usually sterile and infertile. Zebroids have been bred since the 19th century. Charles Darwin noted several zebra hybrids in his works.
Question: can you breed a zebra and a horse","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","to produce a zebroid? 
Answer: yes",2.6295013427734375,true,False
has any country been in every world cup,National team appearances in the FIFA World Cup,True,"As of the 2018 FIFA World Cup, 79 national teams have competed at the final tournaments. Brazil are the only team to have appeared in all 21 tournaments to date, with Germany having participated in 19, Italy in 18, Argentina in 17 and Mexico in 16. To date, eight nations have won the tournament. The inaugural winners in 1930 were Uruguay; the current champions are France. The most successful nation in the competition are currently Brazil, who have won the cup on five occasions. Five teams have appeared in FIFA World Cup finals without winning, while twelve more have appeared in semi-finals.","As of the 2018 FIFA World Cup, 79 national teams have competed at the final tournaments. Brazil are the only team to have appeared in all 21 tournaments to date, with Germany having participated in 19, Italy in 18, Argentina in 17 and Mexico in 16. To date, eight nations have won the tournament. The inaugural winners in 1930 were Uruguay; the current champions are France. The most successful nation in the competition are currently Brazil, who have won the cup on five occasions. Five teams have appeared in FIFA World Cup finals without winning, while twelve more have appeared in semi-finals.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: As of the 2018 FIFA World Cup, 79 national teams have competed at the final tournaments. Brazil are the only team to have appeared in all 21 tournaments to date, with Germany having participated in 19, Italy in 18, Argentina in 17 and Mexico in 16. To date, eight nations have won the tournament. The inaugural winners in 1930 were Uruguay; the current champions are France. The most successful nation in the competition are currently Brazil, who have won the cup on five occasions. Five teams have appeared in FIFA World Cup finals without winning, while twelve more have appeared in semi-finals.
Question: has any country been in every world cup","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","since its inception? 
Answer: yes",2.767564058303833,true,False
is there a fly that looks like a bee,Hoverfly,True,"The size of hoverflies varies depending on the species. Some, like members of the genus Baccha, are small, elongated, and slender, while others, like members of Criorhina, are large, hairy, and yellow and black. As members of the Diptera, all hoverflies have a single functional pair of wings (the hind wings are reduced to balancing organs). They are brightly colored, with spots, stripes, and bands of yellow or brown covering their bodies. Due to this coloring, they are often mistaken for wasps or bees; they exhibit Batesian mimicry. Despite this, hoverflies are harmless.","The size of hoverflies varies depending on the species. Some, like members of the genus Baccha, are small, elongated, and slender, while others, like members of Criorhina, are large, hairy, and yellow and black. As members of the Diptera, all hoverflies have a single functional pair of wings (the hind wings are reduced to balancing organs). They are brightly colored, with spots, stripes, and bands of yellow or brown covering their bodies. Due to this coloring, they are often mistaken for wasps or bees; they exhibit Batesian mimicry. Despite this, hoverflies are harmless.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: The size of hoverflies varies depending on the species. Some, like members of the genus Baccha, are small, elongated, and slender, while others, like members of Criorhina, are large, hairy, and yellow and black. As members of the Diptera, all hoverflies have a single functional pair of wings (the hind wings are reduced to balancing organs). They are brightly colored, with spots, stripes, and bands of yellow or brown covering their bodies. Due to this coloring, they are often mistaken for wasps or bees; they exhibit Batesian mimicry. Despite this, hoverflies are harmless.
Question: is there a fly that looks like a bee","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: yes",1.373772382736206,true,False
is a memory card the same as a flash drive,USB flash drive,False,"Flash memory cards, e.g., Secure Digital cards, are available in various formats and capacities, and are used by many consumer devices. However, while virtually all PCs have USB ports, allowing the use of USB flash drives, memory card readers are not commonly supplied as standard equipment (particularly with desktop computers). Although inexpensive card readers are available that read many common formats, this results in two pieces of portable equipment (card plus reader) rather than one.","Flash memory cards, e.g., Secure Digital cards, are available in various formats and capacities, and are used by many consumer devices. However, while virtually all PCs have USB ports, allowing the use of USB flash drives, memory card readers are not commonly supplied as standard equipment (particularly with desktop computers). Although inexpensive card readers are available that read many common formats, this results in two pieces of portable equipment (card plus reader) rather than one.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: Flash memory cards, e.g., Secure Digital cards, are available in various formats and capacities, and are used by many consumer devices. However, while virtually all PCs have USB ports, allowing the use of USB flash drives, memory card readers are not commonly supplied as standard equipment (particularly with desktop computers). Although inexpensive card readers are available that read many common formats, this results in two pieces of portable equipment (card plus reader) rather than one.
Question: is a memory card the same as a flash drive","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: no.",1.3357822895050049,false,False
is leningrad and st petersburg the same place,Saint Petersburg,True,"An admirer of everything Dutch, Peter the Great originally named the city, Sankt-Peterburg (Russian: Санкт-Петербург; note that the Russian name lacks the letter s between Peter and burg). On 1 September 1914, after the outbreak of World War I, the Imperial government renamed the city Petrograd (Russian: Петрогра́д, IPA: (pjɪtrɐˈgrat)), meaning ``Peter's city'', in order to expunge the German-sounding words Sankt and Burg. On 26 January 1924 it was renamed to Leningrad (Russian: Ленингра́д, IPA: (ljɪnjɪnˈgrat)), meaning ``Lenin's City''. On 6 September 1991, the original name, Sankt-Peterburg, was returned. Today, in English the city is known as ``Saint Petersburg''. Local residents often refer to the city by its shortened nickname, Piter (Russian: Пи́тер, IPA: (ˈpjitjɪr)).","An admirer of everything Dutch, Peter the Great originally named the city, Sankt-Peterburg (Russian: Санкт-Петербург; note that the Russian name lacks the letter s between Peter and burg). On 1 September 1914, after the outbreak of World War I, the Imperial government renamed the city Petrograd (Russian: Петрогра́д, IPA: (pjɪtrɐˈgrat)), meaning ``Peter's city'', in order to expunge the German-sounding words Sankt and Burg. On 26 January 1924 it was renamed to Leningrad (Russian: Ленингра́д, IPA: (ljɪnjɪnˈgrat)), meaning ``Lenin's City''. On 6 September 1991, the original name, Sankt-Peterburg, was returned. Today, in English the city is known as ``Saint Petersburg''. Local residents often refer to the city by its shortened nickname, Piter (Russian: Пи́тер, IPA: (ˈpjitjɪr)).","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: An admirer of everything Dutch, Peter the Great originally named the city, Sankt-Peterburg (Russian: Санкт-Петербург; note that the Russian name lacks the letter s between Peter and burg). On 1 September 1914, after the outbreak of World War I, the Imperial government renamed the city Petrograd (Russian: Петрогра́д, IPA: (pjɪtrɐˈgrat)), meaning ``Peter's city'', in order to expunge the German-sounding words Sankt and Burg. On 26 January 1924 it was renamed to Leningrad (Russian: Ленингра́д, IPA: (ljɪnjɪnˈgrat)), meaning ``Lenin's City''. On 6 September 1991, the original name, Sankt-Peterburg, was returned. Today, in English the city is known as ``Saint Petersburg''. Local residents often refer to the city by its shortened nickname, Piter (Russian: Пи́тер, IPA: (ˈpjitjɪr)).
Question: is leningrad and st petersburg the same place","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: no.",0.7060421705245972,true,False
is there a sequel to the son of batman,Son of Batman,True,"In 2015, a sequel to Son of Batman was released under the title of Batman vs. Robin. In 2016, a third movie was released under the title of Batman: Bad Blood.","In 2015, a sequel to Son of Batman was released under the title of Batman vs. Robin. In 2016, a third movie was released under the title of Batman: Bad Blood.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: In 2015, a sequel to Son of Batman was released under the title of Batman vs. Robin. In 2016, a third movie was released under the title of Batman: Bad Blood.
Question: is there a sequel to the son of batman","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: yes",1.613795518875122,true,False
is father's day the same day all over the world,Father's Day,False,"Father's Day is a celebration honoring fathers and celebrating fatherhood, paternal bonds, and the influence of fathers in society. In Catholic Europe, it has been celebrated on March 19 (St. Joseph's Day) since the Middle Ages. This celebration was brought by the Spanish and Portuguese to Latin America, where March 19 is often still used for it, though many countries in Europe and the Americas have adopted the U.S. date, which is the third Sunday of June. It is celebrated on various days in many parts of the world, most commonly in the months of March, April and June. It complements similar celebrations honoring family members, such as Mother's Day, Siblings Day, and Grandparents' Day.","Father's Day is a celebration honoring fathers and celebrating fatherhood, paternal bonds, and the influence of fathers in society. In Catholic Europe, it has been celebrated on March 19 (St. Joseph's Day) since the Middle Ages. This celebration was brought by the Spanish and Portuguese to Latin America, where March 19 is often still used for it, though many countries in Europe and the Americas have adopted the U.S. date, which is the third Sunday of June. It is celebrated on various days in many parts of the world, most commonly in the months of March, April and June. It complements similar celebrations honoring family members, such as Mother's Day, Siblings Day, and Grandparents' Day.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: Father's Day is a celebration honoring fathers and celebrating fatherhood, paternal bonds, and the influence of fathers in society. In Catholic Europe, it has been celebrated on March 19 (St. Joseph's Day) since the Middle Ages. This celebration was brought by the Spanish and Portuguese to Latin America, where March 19 is often still used for it, though many countries in Europe and the Americas have adopted the U.S. date, which is the third Sunday of June. It is celebrated on various days in many parts of the world, most commonly in the months of March, April and June. It complements similar celebrations honoring family members, such as Mother's Day, Siblings Day, and Grandparents' Day.
Question: is father's day the same day all over the world","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: no.",0.9126245975494385,false,False
are holby city and casualty set in the same hospital,Holby City,True,"Holby City was created by Tony McHale and Mal Young as a spin-off from the BBC medical drama Casualty, which is set in the emergency department of the fictional Holby City Hospital. Young wanted to explore what happened to patients treated in Casualty once they were taken away to the hospital's surgical wards. While Casualty's scope is limited to ``accident of the week'' storylines about patients entering hospital, Holby City allowed the possibility of storylines about long-term care, rather than immediate life and death decisions. The series was commissioned by BBC One Controller Peter Salmon, and began airing on BBC One on 12 January 1999.","Holby City was created by Tony McHale and Mal Young as a spin-off from the BBC medical drama Casualty, which is set in the emergency department of the fictional Holby City Hospital. Young wanted to explore what happened to patients treated in Casualty once they were taken away to the hospital's surgical wards. While Casualty's scope is limited to ``accident of the week'' storylines about patients entering hospital, Holby City allowed the possibility of storylines about long-term care, rather than immediate life and death decisions. The series was commissioned by BBC One Controller Peter Salmon, and began airing on BBC One on 12 January 1999.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: Holby City was created by Tony McHale and Mal Young as a spin-off from the BBC medical drama Casualty, which is set in the emergency department of the fictional Holby City Hospital. Young wanted to explore what happened to patients treated in Casualty once they were taken away to the hospital's surgical wards. While Casualty's scope is limited to ``accident of the week'' storylines about patients entering hospital, Holby City allowed the possibility of storylines about long-term care, rather than immediate life and death decisions. The series was commissioned by BBC One Controller Peter Salmon, and began airing on BBC One on 12 January 1999.
Question: are holby city and casualty set in the same hospital","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: yes",1.8184362649917603,true,False
are parchment paper and butter paper the same,Parchment paper,False,"Parchment paper and bakery release paper are cellulose-based papers that are used in baking as a disposable non-stick surface. Both are also called bakery paper or baking paper. They should not be confused with waxed paper, also known as wax paper or rarely as butter paper.","Parchment paper and bakery release paper are cellulose-based papers that are used in baking as a disposable non-stick surface. Both are also called bakery paper or baking paper. They should not be confused with waxed paper, also known as wax paper or rarely as butter paper.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: Parchment paper and bakery release paper are cellulose-based papers that are used in baking as a disposable non-stick surface. Both are also called bakery paper or baking paper. They should not be confused with waxed paper, also known as wax paper or rarely as butter paper.
Question: are parchment paper and butter paper the same","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","thing? 
Answer: no.",1.4537492990493774,false,False
is it normal to have wet dreams at 17,Nocturnal emission,True,"The frequency of nocturnal emissions is highly variable. Some reported that it is due to being sexually inactive for a period of 1--2 weeks, with no engagement in either intercourse or masturbation. Some males have experienced large numbers of nocturnal emissions as teenagers, while others have never experienced one. In the U.S., 83% of men experience nocturnal emissions at some time in their life. For males who have experienced nocturnal emissions the mean frequency ranges from 0.36 times per week (about once every three weeks) for single 15-year-old males to 0.18 times per week (about once every five-and-a-half weeks) for 40-year-old single males. For married males the mean ranges from 0.23 times per week (about once per month) for 19-year-old married males to 0.15 times per week (about once every two months) for 50-year-old married males. In some parts of the world nocturnal emissions are more common. For example, in Indonesia surveys have shown that 97% of men experience nocturnal emissions by the age of 24.","The frequency of nocturnal emissions is highly variable. Some reported that it is due to being sexually inactive for a period of 1--2 weeks, with no engagement in either intercourse or masturbation. Some males have experienced large numbers of nocturnal emissions as teenagers, while others have never experienced one. In the U.S., 83% of men experience nocturnal emissions at some time in their life. For males who have experienced nocturnal emissions the mean frequency ranges from 0.36 times per week (about once every three weeks) for single 15-year-old males to 0.18 times per week (about once every five-and-a-half weeks) for 40-year-old single males. For married males the mean ranges from 0.23 times per week (about once per month) for 19-year-old married males to 0.15 times per week (about once every two months) for 50-year-old married males. In some parts of the world nocturnal emissions are more common. For example, in Indonesia surveys have shown that 97% of men experience nocturnal emissions by the age of 24.","You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.
Passage: The frequency of nocturnal emissions is highly variable. Some reported that it is due to being sexually inactive for a period of 1--2 weeks, with no engagement in either intercourse or masturbation. Some males have experienced large numbers of nocturnal emissions as teenagers, while others have never experienced one. In the U.S., 83% of men experience nocturnal emissions at some time in their life. For males who have experienced nocturnal emissions the mean frequency ranges from 0.36 times per week (about once every three weeks) for single 15-year-old males to 0.18 times per week (about once every five-and-a-half weeks) for 40-year-old single males. For married males the mean ranges from 0.23 times per week (about once per month) for 19-year-old married males to 0.15 times per week (about once every two months) for 50-year-old married males. In some parts of the world nocturnal emissions are more common. For example, in Indonesia surveys have shown that 97% of men experience nocturnal emissions by the age of 24.
Question: is it normal to have wet dreams at 17","UncertaintyOutput(uncertainty=4.801061630249023, input_text=""You are a reading comprehension assistant. Given a passage and a yes/no question, respond with a single word: either 'yes' or 'no' — but not both.\nPassage: State level laws vary significantly in their form, content, and level of restriction. Forty-four states have a provision in their state constitutions similar to the Second Amendment to the U.S. Constitution, which protects the right to keep and bear arms. The exceptions are California, Iowa, Maryland, Minnesota, New Jersey, and New York. In New York, however, the statutory civil rights laws contain a provision virtually identical to the Second Amendment. Additionally, the U.S. Supreme Court held in McDonald v. Chicago that the protections of the Second Amendment to keep and bear arms for self-defense in one's home apply against state governments and their political subdivisions.\nQuestion: is it illegal to have a gun in your home"", generation_text=' in New York? \nAnswer: yes', generation_tokens=[304, 1561, 4356, 30, 720, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')","? 
Answer: yes",1.423721194267273,true,False
