question,title,answer,passage,context,input_text,model_answer,uncertainty_score,ground_truth,match
can i use a tracfone with straight talk service,TracFone Wireless,False,"Straight Talk offers a variety of prepaid, no contract, phones on their website for use with their plans. Straight Talk also allows customers to bring AT&T, T-Mobile, Sprint, Verizon, or unlocked GSM phones to Straight Talk by buying a SIM card or activation kit and air time from the company. This program does not work with branded Straight Talk, SafeLink, TracFone, Total Wireless, and NET10 phones.","Straight Talk offers a variety of prepaid, no contract, phones on their website for use with their plans. Straight Talk also allows customers to bring AT&T, T-Mobile, Sprint, Verizon, or unlocked GSM phones to Straight Talk by buying a SIM card or activation kit and air time from the company. This program does not work with branded Straight Talk, SafeLink, TracFone, Total Wireless, and NET10 phones.","Passage: Straight Talk offers a variety of prepaid, no contract, phones on their website for use with their plans. Straight Talk also allows customers to bring AT&T, T-Mobile, Sprint, Verizon, or unlocked GSM phones to Straight Talk by buying a SIM card or activation kit and air time from the company. This program does not work with branded Straight Talk, SafeLink, TracFone, Total Wireless, and NET10 phones.
Question: can i use a tracfone with straight talk service","?
Answer: No, Straight Talk does not support TracFone phones. TracFone phones are not compatible with Straight Talk service.","UncertaintyOutput(uncertainty=7.084333896636963, input_text='Passage: Straight Talk offers a variety of prepaid, no contract, phones on their website for use with their plans. Straight Talk also allows customers to bring AT&T, T-Mobile, Sprint, Verizon, or unlocked GSM phones to Straight Talk by buying a SIM card or activation kit and air time from the company. This program does not work with branded Straight Talk, SafeLink, TracFone, Total Wireless, and NET10 phones.\nQuestion: can i use a tracfone with straight talk service', generation_text='?\nAnswer: No, Straight Talk does not support TracFone phones. TracFone phones are not compatible with Straight Talk service.', generation_tokens=[5380, 16533, 25, 2360, 11, 46910, 19513, 1587, 539, 1862, 1183, 582, 37, 606, 18084, 13, 1183, 582, 37, 606, 18084, 527, 539, 18641, 449, 46910, 19513, 2532, 13], model_path=None, estimator='CocoaMSP')",false,False
does pam and jim get together in the office,Pam Beesly,True,"Pamela Morgan Halpert (née Beesly) is a fictional character on the U.S. television sitcom The Office, played by Jenna Fischer. Her counterpart in the original UK series of The Office is Dawn Tinsley. Her character is initially the receptionist at the paper distribution company Dunder Mifflin, before becoming a saleswoman and eventually office administrator until her termination in the series finale. Her character is shy, growing assertive but amiable, and artistically inclined, and shares romantic interest with Jim Halpert, whom she begins dating in the fourth season and marries and starts a family with as the series continues.","Pamela Morgan Halpert (née Beesly) is a fictional character on the U.S. television sitcom The Office, played by Jenna Fischer. Her counterpart in the original UK series of The Office is Dawn Tinsley. Her character is initially the receptionist at the paper distribution company Dunder Mifflin, before becoming a saleswoman and eventually office administrator until her termination in the series finale. Her character is shy, growing assertive but amiable, and artistically inclined, and shares romantic interest with Jim Halpert, whom she begins dating in the fourth season and marries and starts a family with as the series continues.","Passage: Pamela Morgan Halpert (née Beesly) is a fictional character on the U.S. television sitcom The Office, played by Jenna Fischer. Her counterpart in the original UK series of The Office is Dawn Tinsley. Her character is initially the receptionist at the paper distribution company Dunder Mifflin, before becoming a saleswoman and eventually office administrator until her termination in the series finale. Her character is shy, growing assertive but amiable, and artistically inclined, and shares romantic interest with Jim Halpert, whom she begins dating in the fourth season and marries and starts a family with as the series continues.
Question: does pam and jim get together in the office","?
Yes, Pam and Jim get together in the Office. They start dating in the fourth season and eventually get married and have a family.","UncertaintyOutput(uncertainty=6.487423896789551, input_text='Passage: Pamela Morgan Halpert (née Beesly) is a fictional character on the U.S. television sitcom The Office, played by Jenna Fischer. Her counterpart in the original UK series of The Office is Dawn Tinsley. Her character is initially the receptionist at the paper distribution company Dunder Mifflin, before becoming a saleswoman and eventually office administrator until her termination in the series finale. Her character is shy, growing assertive but amiable, and artistically inclined, and shares romantic interest with Jim Halpert, whom she begins dating in the fourth season and marries and starts a family with as the series continues.\nQuestion: does pam and jim get together in the office', generation_text='?\nYes, Pam and Jim get together in the Office. They start dating in the fourth season and eventually get married and have a family.', generation_tokens=[5380, 9642, 11, 44513, 323, 11641, 636, 3871, 304, 279, 8410, 13, 2435, 1212, 5029, 304, 279, 11999, 3280, 323, 9778, 636, 12502, 323, 617, 264, 3070, 13], model_path=None, estimator='CocoaMSP')",true,False
is there going to be another season of the punisher,The Punisher (season 2),True,"The second season of The Punisher is scheduled to be released in 2019 on the streaming service Netflix, worldwide.","The second season of The Punisher is scheduled to be released in 2019 on the streaming service Netflix, worldwide.","Passage: The second season of The Punisher is scheduled to be released in 2019 on the streaming service Netflix, worldwide.
Question: is there going to be another season of the punisher","?
Answer: yes, there will be another season of The Punisher, but it has been cancelled by Netflix.","UncertaintyOutput(uncertainty=8.225757598876953, input_text='Passage: The second season of The Punisher is scheduled to be released in 2019 on the streaming service Netflix, worldwide.\nQuestion: is there going to be another season of the punisher', generation_text='?\nAnswer: yes, there will be another season of The Punisher, but it has been cancelled by Netflix.', generation_tokens=[5380, 16533, 25, 10035, 11, 1070, 690, 387, 2500, 3280, 315, 578, 31536, 39672, 11, 719, 433, 706, 1027, 26765, 555, 23469, 13], model_path=None, estimator='CocoaMSP')",true,False
does a goal from a throw in count,Throw-in,False,"A goal cannot be scored directly from a throw-in; if a player throws the ball directly into their own goal without any other player touching it, the result is a corner kick to the opposing side. Likewise an offensive goal cannot be scored directly from a throw in; the result in this case is a goal kick for the defending team.","A goal cannot be scored directly from a throw-in; if a player throws the ball directly into their own goal without any other player touching it, the result is a corner kick to the opposing side. Likewise an offensive goal cannot be scored directly from a throw in; the result in this case is a goal kick for the defending team.","Passage: A goal cannot be scored directly from a throw-in; if a player throws the ball directly into their own goal without any other player touching it, the result is a corner kick to the opposing side. Likewise an offensive goal cannot be scored directly from a throw in; the result in this case is a goal kick for the defending team.
Question: does a goal from a throw in count","as a goal?
Answer: No, a goal from a throw in does not count as a goal.","UncertaintyOutput(uncertainty=3.859917640686035, input_text='Passage: A goal cannot be scored directly from a throw-in; if a player throws the ball directly into their own goal without any other player touching it, the result is a corner kick to the opposing side. Likewise an offensive goal cannot be scored directly from a throw in; the result in this case is a goal kick for the defending team.\nQuestion: does a goal from a throw in count', generation_text=' as a goal?\nAnswer: No, a goal from a throw in does not count as a goal.', generation_tokens=[439, 264, 5915, 5380, 16533, 25, 2360, 11, 264, 5915, 505, 264, 2571, 304, 1587, 539, 1797, 439, 264, 5915, 13], model_path=None, estimator='CocoaMSP')",false,False
is a pinky a finger yes or no,Little finger,True,"The little finger, or pinky finger (in American English), also known as the fourth digit, or pinkie, is the most ulnar and smallest finger of the human hand, opposite the thumb, and next to the ring finger.","The little finger, or pinky finger (in American English), also known as the fourth digit, or pinkie, is the most ulnar and smallest finger of the human hand, opposite the thumb, and next to the ring finger.","Passage: The little finger, or pinky finger (in American English), also known as the fourth digit, or pinkie, is the most ulnar and smallest finger of the human hand, opposite the thumb, and next to the ring finger.
Question: is a pinky a finger yes or no",Answer: yes,"UncertaintyOutput(uncertainty=0.48196741938591003, input_text='Passage: The little finger, or pinky finger (in American English), also known as the fourth digit, or pinkie, is the most ulnar and smallest finger of the human hand, opposite the thumb, and next to the ring finger.\nQuestion: is a pinky a finger yes or no', generation_text='\nAnswer: yes', generation_tokens=[198, 16533, 25, 10035], model_path=None, estimator='CocoaMSP')",true,False
did the uk have a referendum to join the eu,"United Kingdom European Communities membership referendum, 1975",True,"The United Kingdom European Communities membership referendum, also known as the Referendum on the European Community (Common Market), the Common Market referendum and EEC membership referendum took place on 5 June 1975 in the United Kingdom to gauge support for the country's continued membership of the European Communities (EC)--often known at the time as the ``European Community'' and the ``Common Market'' which it had entered on 1 January 1973 under the Conservative government of Edward Heath under the provisions of the Referendum Act 1975. Labour's manifesto for the October 1974 general election had promised that the people would decide ``through the ballot box'' whether to remain in the EC.","The United Kingdom European Communities membership referendum, also known as the Referendum on the European Community (Common Market), the Common Market referendum and EEC membership referendum took place on 5 June 1975 in the United Kingdom to gauge support for the country's continued membership of the European Communities (EC)--often known at the time as the ``European Community'' and the ``Common Market'' which it had entered on 1 January 1973 under the Conservative government of Edward Heath under the provisions of the Referendum Act 1975. Labour's manifesto for the October 1974 general election had promised that the people would decide ``through the ballot box'' whether to remain in the EC.","Passage: The United Kingdom European Communities membership referendum, also known as the Referendum on the European Community (Common Market), the Common Market referendum and EEC membership referendum took place on 5 June 1975 in the United Kingdom to gauge support for the country's continued membership of the European Communities (EC)--often known at the time as the ``European Community'' and the ``Common Market'' which it had entered on 1 January 1973 under the Conservative government of Edward Heath under the provisions of the Referendum Act 1975. Labour's manifesto for the October 1974 general election had promised that the people would decide ``through the ballot box'' whether to remain in the EC.
Question: did the uk have a referendum to join the eu","?
Answer: No, the UK did not have a referendum to join the EU.","UncertaintyOutput(uncertainty=3.4532337188720703, input_text=""Passage: The United Kingdom European Communities membership referendum, also known as the Referendum on the European Community (Common Market), the Common Market referendum and EEC membership referendum took place on 5 June 1975 in the United Kingdom to gauge support for the country's continued membership of the European Communities (EC)--often known at the time as the ``European Community'' and the ``Common Market'' which it had entered on 1 January 1973 under the Conservative government of Edward Heath under the provisions of the Referendum Act 1975. Labour's manifesto for the October 1974 general election had promised that the people would decide ``through the ballot box'' whether to remain in the EC.\nQuestion: did the uk have a referendum to join the eu"", generation_text='?\nAnswer: No, the UK did not have a referendum to join the EU.', generation_tokens=[5380, 16533, 25, 2360, 11, 279, 6560, 1550, 539, 617, 264, 30798, 311, 5249, 279, 10013, 13], model_path=None, estimator='CocoaMSP')",true,False
can a local maximum also be an absolute maximum,Maxima and minima,True,"In mathematical analysis, the maxima and minima (the respective plurals of maximum and minimum) of a function, known collectively as extrema (the plural of extremum), are the largest and smallest value of the function, either within a given range (the local or relative extrema) or on the entire domain of a function (the global or absolute extrema). Pierre de Fermat was one of the first mathematicians to propose a general technique, adequality, for finding the maxima and minima of functions.","In mathematical analysis, the maxima and minima (the respective plurals of maximum and minimum) of a function, known collectively as extrema (the plural of extremum), are the largest and smallest value of the function, either within a given range (the local or relative extrema) or on the entire domain of a function (the global or absolute extrema). Pierre de Fermat was one of the first mathematicians to propose a general technique, adequality, for finding the maxima and minima of functions.","Passage: In mathematical analysis, the maxima and minima (the respective plurals of maximum and minimum) of a function, known collectively as extrema (the plural of extremum), are the largest and smallest value of the function, either within a given range (the local or relative extrema) or on the entire domain of a function (the global or absolute extrema). Pierre de Fermat was one of the first mathematicians to propose a general technique, adequality, for finding the maxima and minima of functions.
Question: can a local maximum also be an absolute maximum","?
Answer: No, a local maximum cannot be an absolute maximum. A local maximum is the largest value of the function within a given range, while an absolute maximum is the largest value of the function on the entire domain of the function. A local","UncertaintyOutput(uncertainty=9.990167617797852, input_text='Passage: In mathematical analysis, the maxima and minima (the respective plurals of maximum and minimum) of a function, known collectively as extrema (the plural of extremum), are the largest and smallest value of the function, either within a given range (the local or relative extrema) or on the entire domain of a function (the global or absolute extrema). Pierre de Fermat was one of the first mathematicians to propose a general technique, adequality, for finding the maxima and minima of functions.\nQuestion: can a local maximum also be an absolute maximum', generation_text='?\nAnswer: No, a local maximum cannot be an absolute maximum. A local maximum is the largest value of the function within a given range, while an absolute maximum is the largest value of the function on the entire domain of the function. A local maximum can be a local maximum on a specific range, but it cannot be an absolute maximum on the entire domain.', generation_tokens=[5380, 16533, 25, 2360, 11, 264, 2254, 7340, 4250, 387, 459, 10973, 7340, 13, 362, 2254, 7340, 374, 279, 7928, 907, 315, 279, 734, 2949, 264, 2728, 2134, 11, 1418, 459, 10973, 7340, 374, 279, 7928, 907, 315, 279, 734, 389, 279, 4553, 8106, 315, 279, 734, 13, 362, 2254, 7340, 649, 387, 264, 2254, 7340, 389, 264, 3230, 2134, 11, 719, 433, 4250, 387, 459, 10973, 7340, 389, 279, 4553, 8106, 13], model_path=None, estimator='CocoaMSP')",true,False
is lethal weapon based on a true story,Lethal Weapon,False,"Recent UCLA graduate Shane Black wrote the screenplay in mid-1985. Black stated that his intention was to do an ``urban western'' inspired by Dirty Harry where a violent character ``reviled for what he did, what he is capable of, the things he believed in'' is eventually recruited for being the one that could solve the problem. The protagonists would be everymen policemen, ``guys shuffling in a town like Los Angeles searching for something noble as justice when they're just guys in washed and worn suits seeking a paycheck''.","Recent UCLA graduate Shane Black wrote the screenplay in mid-1985. Black stated that his intention was to do an ``urban western'' inspired by Dirty Harry where a violent character ``reviled for what he did, what he is capable of, the things he believed in'' is eventually recruited for being the one that could solve the problem. The protagonists would be everymen policemen, ``guys shuffling in a town like Los Angeles searching for something noble as justice when they're just guys in washed and worn suits seeking a paycheck''.","Passage: Recent UCLA graduate Shane Black wrote the screenplay in mid-1985. Black stated that his intention was to do an ``urban western'' inspired by Dirty Harry where a violent character ``reviled for what he did, what he is capable of, the things he believed in'' is eventually recruited for being the one that could solve the problem. The protagonists would be everymen policemen, ``guys shuffling in a town like Los Angeles searching for something noble as justice when they're just guys in washed and worn suits seeking a paycheck''.
Question: is lethal weapon based on a true story","?
Answer: No, the movie Lethal Weapon is a work of fiction. While the movie is loosely based on the character of Dirty Harry, it is not a direct adaptation of any true story. The movie's plot is fictional, and the","UncertaintyOutput(uncertainty=16.33863067626953, input_text=""Passage: Recent UCLA graduate Shane Black wrote the screenplay in mid-1985. Black stated that his intention was to do an ``urban western'' inspired by Dirty Harry where a violent character ``reviled for what he did, what he is capable of, the things he believed in'' is eventually recruited for being the one that could solve the problem. The protagonists would be everymen policemen, ``guys shuffling in a town like Los Angeles searching for something noble as justice when they're just guys in washed and worn suits seeking a paycheck''.\nQuestion: is lethal weapon based on a true story"", generation_text=""?\nAnswer: No, the movie Lethal Weapon is a work of fiction. While the movie is loosely based on the character of Dirty Harry, it is not a direct adaptation of any true story. The movie's plot is fictional, and the characters are not based on real people."", generation_tokens=[5380, 16533, 25, 2360, 11, 279, 5818, 445, 774, 278, 28877, 374, 264, 990, 315, 17422, 13, 6104, 279, 5818, 374, 63557, 3196, 389, 279, 3752, 315, 55391, 14253, 11, 433, 374, 539, 264, 2167, 34185, 315, 904, 837, 3446, 13, 578, 5818, 596, 7234, 374, 44682, 11, 323, 279, 5885, 527, 539, 3196, 389, 1972, 1274, 13], model_path=None, estimator='CocoaMSP')",false,False
is bermuda an island in the caribbean sea,Bermuda,False,"Bermuda ( /bərˈmjuːdə/) is a British Overseas Territory in the North Atlantic Ocean. It is approximately 1,070 km (665 mi) east-southeast of Cape Hatteras, North Carolina; 1,236 km (768 mi) south of Cape Sable Island, Nova Scotia; and 1,578 km (981 mi) north of Puerto Rico. The capital city is Hamilton. Bermuda is an associate member of Caribbean Community (CARICOM).","Bermuda ( /bərˈmjuːdə/) is a British Overseas Territory in the North Atlantic Ocean. It is approximately 1,070 km (665 mi) east-southeast of Cape Hatteras, North Carolina; 1,236 km (768 mi) south of Cape Sable Island, Nova Scotia; and 1,578 km (981 mi) north of Puerto Rico. The capital city is Hamilton. Bermuda is an associate member of Caribbean Community (CARICOM).","Passage: Bermuda ( /bərˈmjuːdə/) is a British Overseas Territory in the North Atlantic Ocean. It is approximately 1,070 km (665 mi) east-southeast of Cape Hatteras, North Carolina; 1,236 km (768 mi) south of Cape Sable Island, Nova Scotia; and 1,578 km (981 mi) north of Puerto Rico. The capital city is Hamilton. Bermuda is an associate member of Caribbean Community (CARICOM).
Question: is bermuda an island in the caribbean sea","?
Answer: yes, Bermuda is an island in the Caribbean Sea.","UncertaintyOutput(uncertainty=3.1596615314483643, input_text='Passage: Bermuda ( /bərˈmjuːdə/) is a British Overseas Territory in the North Atlantic Ocean. It is approximately 1,070 km (665 mi) east-southeast of Cape Hatteras, North Carolina; 1,236 km (768 mi) south of Cape Sable Island, Nova Scotia; and 1,578 km (981 mi) north of Puerto Rico. The capital city is Hamilton. Bermuda is an associate member of Caribbean Community (CARICOM).\nQuestion: is bermuda an island in the caribbean sea', generation_text='?\nAnswer: yes, Bermuda is an island in the Caribbean Sea.', generation_tokens=[5380, 16533, 25, 10035, 11, 91366, 374, 459, 13218, 304, 279, 35374, 15379, 13], model_path=None, estimator='CocoaMSP')",false,False
is the 2 dollar bill still in circulation,United States two-dollar bill,True,"The United States two-dollar bill ($2) is a current denomination of U.S. currency. The third U.S. President (1801--09), Thomas Jefferson, is featured on the obverse of the note. The reverse features an engraving of the painting The Declaration of Independence by John Trumbull. Throughout the $2 bill's pre-1929 life as a large-sized note, it was issued as a United States Note, National Bank Note, silver certificate, Treasury or ``Coin'' Note and Federal Reserve Bank Note. When U.S. currency was changed to its current size, the $2 bill was issued only as a United States Note. Production went on until 1966, when the series was discontinued. Ten years passed before the $2 bill was reissued as a Federal Reserve Note with a new reverse design. Two-dollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand. This comparative scarcity in circulation, coupled with a lack of public knowledge that the bill is still in production and circulation, has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases.","The United States two-dollar bill ($2) is a current denomination of U.S. currency. The third U.S. President (1801--09), Thomas Jefferson, is featured on the obverse of the note. The reverse features an engraving of the painting The Declaration of Independence by John Trumbull. Throughout the $2 bill's pre-1929 life as a large-sized note, it was issued as a United States Note, National Bank Note, silver certificate, Treasury or ``Coin'' Note and Federal Reserve Bank Note. When U.S. currency was changed to its current size, the $2 bill was issued only as a United States Note. Production went on until 1966, when the series was discontinued. Ten years passed before the $2 bill was reissued as a Federal Reserve Note with a new reverse design. Two-dollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand. This comparative scarcity in circulation, coupled with a lack of public knowledge that the bill is still in production and circulation, has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases.","Passage: The United States two-dollar bill ($2) is a current denomination of U.S. currency. The third U.S. President (1801--09), Thomas Jefferson, is featured on the obverse of the note. The reverse features an engraving of the painting The Declaration of Independence by John Trumbull. Throughout the $2 bill's pre-1929 life as a large-sized note, it was issued as a United States Note, National Bank Note, silver certificate, Treasury or ``Coin'' Note and Federal Reserve Bank Note. When U.S. currency was changed to its current size, the $2 bill was issued only as a United States Note. Production went on until 1966, when the series was discontinued. Ten years passed before the $2 bill was reissued as a Federal Reserve Note with a new reverse design. Two-dollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand. This comparative scarcity in circulation, coupled with a lack of public knowledge that the bill is still in production and circulation, has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases.
Question: is the 2 dollar bill still in circulation","?
Answer: No, the 2 dollar bill is seldom seen in circulation due to banking policies and lack of demand.
Answer: Yes, the 2 dollar bill is still in circulation.","UncertaintyOutput(uncertainty=7.566784858703613, input_text=""Passage: The United States two-dollar bill ($2) is a current denomination of U.S. currency. The third U.S. President (1801--09), Thomas Jefferson, is featured on the obverse of the note. The reverse features an engraving of the painting The Declaration of Independence by John Trumbull. Throughout the $2 bill's pre-1929 life as a large-sized note, it was issued as a United States Note, National Bank Note, silver certificate, Treasury or ``Coin'' Note and Federal Reserve Bank Note. When U.S. currency was changed to its current size, the $2 bill was issued only as a United States Note. Production went on until 1966, when the series was discontinued. Ten years passed before the $2 bill was reissued as a Federal Reserve Note with a new reverse design. Two-dollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand. This comparative scarcity in circulation, coupled with a lack of public knowledge that the bill is still in production and circulation, has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases.\nQuestion: is the 2 dollar bill still in circulation"", generation_text='?\nAnswer: No, the 2 dollar bill is seldom seen in circulation due to banking policies and lack of demand.\nAnswer: Yes, the 2 dollar bill is still in circulation.', generation_tokens=[5380, 16533, 25, 2360, 11, 279, 220, 17, 18160, 4121, 374, 56452, 3970, 304, 35855, 4245, 311, 23641, 10396, 323, 6996, 315, 7631, 627, 16533, 25, 7566, 11, 279, 220, 17, 18160, 4121, 374, 2103, 304, 35855, 13], model_path=None, estimator='CocoaMSP')",true,False
is it ok to eat cooking apples raw,Cooking apple,True,It is often believed that eating cooking apples raw will make a person sick. In reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. This myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.,It is often believed that eating cooking apples raw will make a person sick. In reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. This myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.,"Passage: It is often believed that eating cooking apples raw will make a person sick. In reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. This myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.
Question: is it ok to eat cooking apples raw","?
Answer: Yes, it is okay to eat cooking apples raw. Cooking apples are harmless and are just varieties of apples whose characteristics are well suited to cooking.","UncertaintyOutput(uncertainty=5.8737101554870605, input_text=""Passage: It is often believed that eating cooking apples raw will make a person sick. In reality cooking apples are harmless raw and are just varieties of apples whose characteristics are well suited to cooking. This myth is simply a product of cooking apples' tart taste and the possibility of it not sitting well in the stomach.\nQuestion: is it ok to eat cooking apples raw"", generation_text='?\nAnswer: Yes, it is okay to eat cooking apples raw. Cooking apples are harmless and are just varieties of apples whose characteristics are well suited to cooking.', generation_tokens=[5380, 16533, 25, 7566, 11, 433, 374, 17339, 311, 8343, 17677, 41776, 7257, 13, 57410, 41776, 527, 53997, 323, 527, 1120, 36680, 315, 41776, 6832, 17910, 527, 1664, 32599, 311, 17677, 13], model_path=None, estimator='CocoaMSP')",true,False
is the uefa champions league final one game,2018 UEFA Champions League Final,True,"The 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th season since it was renamed from the European Cup to the UEFA Champions League. It was played at the NSC Olimpiyskiy Stadium in Kiev, Ukraine on 26 May 2018, between Spanish side and defending champions Real Madrid, who had won the competition in each of the last two seasons, and English side Liverpool.","The 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th season since it was renamed from the European Cup to the UEFA Champions League. It was played at the NSC Olimpiyskiy Stadium in Kiev, Ukraine on 26 May 2018, between Spanish side and defending champions Real Madrid, who had won the competition in each of the last two seasons, and English side Liverpool.","Passage: The 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th season since it was renamed from the European Cup to the UEFA Champions League. It was played at the NSC Olimpiyskiy Stadium in Kiev, Ukraine on 26 May 2018, between Spanish side and defending champions Real Madrid, who had won the competition in each of the last two seasons, and English side Liverpool.
Question: is the uefa champions league final one game","or two games?
Answer: the 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th","UncertaintyOutput(uncertainty=6.109605312347412, input_text=""Passage: The 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th season since it was renamed from the European Cup to the UEFA Champions League. It was played at the NSC Olimpiyskiy Stadium in Kiev, Ukraine on 26 May 2018, between Spanish side and defending champions Real Madrid, who had won the competition in each of the last two seasons, and English side Liverpool.\nQuestion: is the uefa champions league final one game"", generation_text="" or two games?\nAnswer: the 2018 UEFA Champions League Final was the final match of the 2017--18 UEFA Champions League, the 63rd season of Europe's premier club football tournament organised by UEFA, and the 26th season since it was renamed from the European Cup to the UEFA Champions League. It was played at the NSC Olimpiyskiy Stadium in Kiev, Ukraine on 26 May 2018, between Spanish side and defending champions Real Madrid,"", generation_tokens=[477, 1403, 3953, 5380, 16533, 25, 279, 220, 679, 23, 79815, 29908, 9130, 13321, 574, 279, 1620, 2489, 315, 279, 220, 679, 22, 313, 972, 79815, 29908, 9130, 11, 279, 220, 5495, 6634, 3280, 315, 4606, 596, 21134, 6469, 9141, 16520, 39433, 555, 79815, 11, 323, 279, 220, 1627, 339, 3280, 2533, 433, 574, 28379, 505, 279, 7665, 11098, 311, 279, 79815, 29908, 9130, 13, 1102, 574, 6476, 520, 279, 3119, 34, 507, 4763, 2554, 1065, 6780, 88, 23462, 304, 62725, 11, 19278, 389, 220, 1627, 3297, 220, 679, 23, 11, 1990, 15506, 3185, 323, 29269, 34838, 8976, 25048], model_path=None, estimator='CocoaMSP')",true,False
do you ever find out how ted met their mother,The Mother (How I Met Your Mother),True,"The story of how Ted met The Mother is the framing device behind the series; many facts about her are revealed throughout the series, including the fact that Ted once unwittingly owned her umbrella before accidentally leaving it behind in her apartment. Ted and The Mother meet at the Farhampton train station following Barney Stinson and Robin Scherbatsky's wedding; this scene is shown in ``Last Forever'', the series finale. The Mother's death from an unspecified terminal illness in 2024, also revealed in the series finale, received a mixed reaction from fans.","The story of how Ted met The Mother is the framing device behind the series; many facts about her are revealed throughout the series, including the fact that Ted once unwittingly owned her umbrella before accidentally leaving it behind in her apartment. Ted and The Mother meet at the Farhampton train station following Barney Stinson and Robin Scherbatsky's wedding; this scene is shown in ``Last Forever'', the series finale. The Mother's death from an unspecified terminal illness in 2024, also revealed in the series finale, received a mixed reaction from fans.","Passage: The story of how Ted met The Mother is the framing device behind the series; many facts about her are revealed throughout the series, including the fact that Ted once unwittingly owned her umbrella before accidentally leaving it behind in her apartment. Ted and The Mother meet at the Farhampton train station following Barney Stinson and Robin Scherbatsky's wedding; this scene is shown in ``Last Forever'', the series finale. The Mother's death from an unspecified terminal illness in 2024, also revealed in the series finale, received a mixed reaction from fans.
Question: do you ever find out how ted met their mother","?
The answer is yes, in the series finale.","UncertaintyOutput(uncertainty=5.446522235870361, input_text=""Passage: The story of how Ted met The Mother is the framing device behind the series; many facts about her are revealed throughout the series, including the fact that Ted once unwittingly owned her umbrella before accidentally leaving it behind in her apartment. Ted and The Mother meet at the Farhampton train station following Barney Stinson and Robin Scherbatsky's wedding; this scene is shown in ``Last Forever'', the series finale. The Mother's death from an unspecified terminal illness in 2024, also revealed in the series finale, received a mixed reaction from fans.\nQuestion: do you ever find out how ted met their mother"", generation_text='?\nThe answer is yes, in the series finale.', generation_tokens=[5380, 791, 4320, 374, 10035, 11, 304, 279, 4101, 37398, 13], model_path=None, estimator='CocoaMSP')",true,False
