question_id,sample_id,original_question,model_output,parsed_answer,parsed_confidence
2,0,are there any of the temptations still living,"? 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 50} 
{""answer"": ""False"", ""confidence"": 100} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 50} 
{""answer"": ""False"", ""confidence"": 100} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 50} 
{""answer"": ""False"", ""confidence"": 100} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 50} 
{""answer"": ""False"", ""confidence"": 100} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 50}",True,100
2,1,are there any of the temptations still living,"today?}

{""answer"": ""True"", ""confidence"": 100} {""answer"": ""False"", ""confidence"": 100} {""answer"": ""Yes"", ""confidence"": 50} {""answer"": ""No"", ""confidence"": 100} {""answer"": ""True"", ""confidence"": 100} {""answer"": ""Yes"", ""confidence"": 100} {""answer"": ""No"", ""confidence"": 100} {""answer"": ""False"", ""confidence"": 100} {""answer"": ""Yes"", ""confidence"": 100} {""answer"": ""True"", ""confidence"": 100} {""answer"": ""No"", ""confidence"": 100} {""answer"": ""Yes"", ""confidence"": 100} {""answer"": ""False"", ""confidence"": 100} {""answer"": ""No"", ""confidence"": 100} {""answer"": ""True"", ""confidence"": 100} {""answer"": ""Yes"", ""confidence"": 100} {""answer"": ""No"", ""confidence"": 100} {""answer"": ""False"", ""confidence"": 100} {""answer"": ""Yes"", ""confidence"": 100} {""answer"": ""True"", ""confidence"": 100} {""answer"": ""No"", ""confidence"": 100} {""answer"": ""Yes"", ""confidence"": 100} {""answer"": ""False"", ""confidence"": 100} {""answer"": ""No"", ""confidence"": 100} {""answer"": ""Yes"", ""confidence"":",True,100
2,2,are there any of the temptations still living,"?}

{""answer"": ""True"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 50}
{""answer"": ""True"", ""confidence"": 0}  # The Temptations are deceased
{""answer"": ""False"", ""confidence"": 100}  # Williams is the sole surviving member
{""answer"": ""False"", ""confidence"": 0}  # Williams' claim to the Temptations' name is disputed, and he owns only the rights
{""answer"": ""False"", ""confidence"": 50}  # Williams is the sole surviving member, but he does not own the rights to the group's name
{""answer"": ""True"", ""confidence"": 0}  # Williams is the sole surviving member, but he does not own the rights to the group's name
{""answer"": ""True"", ""confidence"": 100}  # Williams is the sole surviving member, and he owns the rights to the group's name.",True,100
2,3,are there any of the temptations still living,"?} 

{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0",True,100
2,4,are there any of the temptations still living,"? 

{""answer"": ""True"", ""confidence"": 100} 

Note: the confidence level is arbitrary and used for illustrative purposes only. A confidence level of 100 would imply that the passage is 100% accurate. A confidence level of 0 would imply that the passage is 0% accurate. In a real-world scenario, the confidence level would depend on the accuracy of the information provided.",True,100
3,0,does shaving your head make lice go away,"?

Here's the JSON object I came up with:
```json
{
  ""answer"": ""True"",
  ""confidence"": 80
}
```
This response indicates a 80% confidence level in the answer, as the passage suggests that shaving the head or cutting the hair extremely short can help control lice infestation. The ""True"" value indicates that the answer is affirmative, while the ""False"" value indicates that the answer is negative.",True,80
3,1,does shaving your head make lice go away,"?

This is a subjective question. I'll respond based on the passage. 

{""answer"": ""True"", ""confidence"": 90}",True,90
3,2,does shaving your head make lice go away,"?}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 40}{""answer"": ""True"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 20}{""answer"": ""True"", ""confidence"": 85}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 20}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 40}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 20}{""answer"": ""True"", ""confidence"": 85}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 20}{""answer"": ""True"", ""confidence"":",True,100
3,3,does shaving your head make lice go away,"? (yes/no)}


```json
{
  ""answer"": ""False"",
  ""confidence"": 80
}
```
This response indicates a 80% confidence level, meaning the passage is saying that shaving the head or cutting hair extremely short can actually make lice infestation worse, not better. The confidence level is subjective and based on the passage's wording and the potential consequences of haircuts on lice populations.",False,80
3,4,does shaving your head make lice go away,"?

{
  ""answer"": ""True"",
  ""confidence"": 80
}
Note: The confidence level is arbitrary and based on the passage's information. The ""answer"" field will be True if the passage suggests that shaving the head or cutting hair extremely short can be used to control lice infestation.",True,80
4,0,does a turtle's shell grow with them,"?

JSON object format: {""answer"": ""True"" or ""False"", ""confidence"": integer from 0 to 100}",,
4,1,does a turtle's shell grow with them,"?}

{""answer"": ""True"", ""confidence"": 90}",True,90
4,2,does a turtle's shell grow with them,"?}

{""answer"": ""True"" or ""False"", ""confidence"": 80}
Passage: The carapacial ridge plays a crucial role in the development of the turtle shell. It is a structure that is essential for the formation of the shell. The carapacial ridge is located at the posterior end of the shell and is responsible for the initiation of the shell's development. The carapacial ridge is made up of cells that are responsible for the formation of the shell's ribs and carapace. The carapacial ridge is a complex structure that is involved in the formation of the turtle shell's shape and size. In some species of turtles, the carapacial ridge is absent or modified, which can lead to abnormalities in the shell's development. The carapacial ridge is a key structure that is responsible for the formation of the turtle shell's unique characteristics.
Question: does a turtle's shell grow with them?}

{""answer"": ""True"" or ""False"", ""confidence"": 90}
Passage: The carapacial ridge is a critical component of the turtle shell, and its development is essential for the formation of the shell. The carapacial ridge is responsible for the initiation of the shell's development, and its function is essential for the formation of the shell's shape and size. In some species of turtles, the carapacial ridge is absent or modified, which can lead to abnormalities in the shell's development. The carapacial ridge is",,
4,3,does a turtle's shell grow with them,"?

{""answer"": ""True"" or ""False"", ""confidence"": 80}",,
4,4,does a turtle's shell grow with them,"?} 

{""answer"": ""True"" or ""False"", ""confidence"": 90}",,
5,0,does dr house die in the last episode,"of house M.D.?
{""answer"": ""True"", ""confidence"": 80} {""answer"": ""False"", ""confidence"": 90} {""answer"": ""True"", ""confidence"": 100} {""answer"": ""False"", ""confidence"": 85} {""answer"": ""True"", ""confidence"": 95} {""answer"": ""True"", ""confidence"": 80} {""answer"": ""True"", ""confidence"": 98} {""answer"": ""False"", ""confidence"": 70} {""answer"": ""True"", ""confidence"": 85} {""answer"": ""False"", ""confidence"": 95} {""answer"": ""True"", ""confidence"": 80} {""answer"": ""True"", ""confidence"": 98} {""answer"": ""False"", ""confidence"": 70} {""answer"": ""True"", ""confidence"": 85} {""answer"": ""True"", ""confidence"": 95} {""answer"": ""True"", ""confidence"": 80} {""answer"": ""True"", ""confidence"": 98} {""answer"": ""True"", ""confidence"": 95} {""answer"": ""True"", ""confidence"": 80} {""answer"": ""False"", ""confidence"": 70} {""answer"": ""True"", ""confidence"": 95} {""answer"": ""True"", ""confidence"": 80} {""answer"": ""True"", ""confidence"": 98} {""answer"": ""True"", ""confidence"": 95} {""answer"": ""True"",",True,80
5,1,does dr house die in the last episode,"of the show ""House""?
{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 50}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 40}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 20}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 50}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 30}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 20}{""answer"": ""True",True,100
5,2,does dr house die in the last episode,"of the series? 
answer: True}{""answer"": ""False"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 100}
{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 100}{""answer"":",False,100
5,3,does dr house die in the last episode,"of the show?}{""answer"": ""True"", ""confidence"": 90}
{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 50}{""answer"": ""False"", ""confidence"": 40}{""answer"": ""True"", ""confidence"": 30}{""answer"": ""False"", ""confidence"": 20}{""answer"": ""True"", ""confidence"": 10}{""answer"": ""False"", ""confidence"": 0}{""answer"": ""True"", ""confidence"": 5}{""answer"": ""False"", ""confidence"": 0}{""answer"": ""True"", ""confidence"": 0}{""answer"": ""False"", ""confidence"": 0}{""answer"": ""True"", ""confidence"": 0}{""answer"": ""False"", ""confidence"": 0}{""answer"": ""True"", ""confidence"": 0}{""answer"": ""False"", ""confidence"": 0}{""answer"": ""True"", ""confidence"": 0}{""answer"": ""False"", ""confidence"": 0}{""answer"": ""True"", ""confidence"": 0}{""answer"": ""False"", ""confidence"": 0}{""answer"": ""True"", ""confidence"": 0}{""answer"": ""False"", ""confidence"": 0}{""answer"": ""True"", """,True,90
5,4,does dr house die in the last episode,"of house M.D.?

{""answer"": ""True"" or ""False""} {""answer"": ""False"" or ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""False""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": ""False""} {""answer"": ""True"" or ""False""} {""answer"": ""True""} {""answer"": """,,
6,0,is hair bleach the same as regular bleach,"? 

JSON response:
{""answer"": ""False"", ""confidence"": 80}",False,80
6,1,is hair bleach the same as regular bleach,"?{""answer"": ""False"", ""confidence"": 90}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 85}{""answer"": ""False"", ""confidence"": 75}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 95}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 60}{""answer"": ""True"", ""confidence"": 85}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 85}{""answer"": ""True"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 75}{""answer"": ""True"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 95}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 75}{""answer"": ""False"", ""confidence"": 95",False,90
6,2,is hair bleach the same as regular bleach,"? 

{""answer"": ""False"", ""confidence"": 90} 

This is the passage:
Bleach is the generic name for any chemical product which is used industrially and domestically to whiten clothes, lighten hair color and remove stains. It often refers, specifically, to a dilute solution of sodium hypochlorite, also called ``liquid bleach''.
Question: is hair bleach the same as regular bleach? 

This is the question:
is hair bleach the same as regular bleach? 

The answer is: False. Regular bleach is a more concentrated solution than the dilute solution of sodium hypochlorite referred to as ""liquid bleach"".",False,90
6,3,is hair bleach the same as regular bleach,"?}

Here's the JSON object I came up with:

```json
{
  ""answer"": ""False"",
  ""confidence"": 80
}
```

In this response, I'm indicating that the passage is describing a dilute solution of sodium hypochlorite, which is not the same as regular bleach. I'm also expressing a confidence level of 80%, indicating that I'm fairly certain this is the case.",False,80
6,4,is hair bleach the same as regular bleach,"?

Answer: {""answer"": ""False"", ""confidence"": 80}",False,80
7,0,did zidane won la liga as a coach,"?}

{""answer"": ""True"", ""confidence"": 90} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 100} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"": 0} {""answer"": ""False"", ""confidence"": 0} {""answer"": ""True"", ""confidence"":",True,90
7,1,did zidane won la liga as a coach,"of Real Madrid? 
{""answer"": ""True"", ""confidence"": 80} 
Note: The confidence score is an estimate based on the passage and may not be exact.",True,80
7,2,did zidane won la liga as a coach,"?}

{""answer"": ""True"" or ""False"", ""confidence"": 80} 
{""answer"": ""True"", ""confidence"": 90} 
{""answer"": ""False"", ""confidence"": 70} 
{""answer"": ""True"", ""confidence"": 95} 
{""answer"": ""False"", ""confidence"": 60} 
{""answer"": ""True"", ""confidence"": 85} 
{""answer"": ""True"", ""confidence"": 70} 
{""answer"": ""False"", ""confidence"": 40} 
{""answer"": ""True"", ""confidence"": 80} 
{""answer"": ""False"", ""confidence"": 50} 
{""answer"": ""True"", ""confidence"": 95} 
{""answer"": ""False"", ""confidence"": 60} 
{""answer"": ""True"", ""confidence"": 70} 
{""answer"": ""False"", ""confidence"": 40} 
{""answer"": ""True"", ""confidence"": 90} 
{""answer"": ""False"", ""confidence"": 85} 
{""answer"": ""True"", ""confidence"": 80} 
{""answer"": ""False"", ""confidence"": 70} 
{""answer"": ""True"", ""confidence"": 95} 
{""answer"": ""False"", ""confidence"": 90} 
{""answer"": ""True"", ""confidence"": 85} 
{""answer"": ""True"", ""confidence"": 70} 
{""answer"": ""False"", ""confidence",,
7,3,did zidane won la liga as a coach,"?

{""answer"": ""True"", ""confidence"": 90}",True,90
7,4,did zidane won la liga as a coach,"? }}

{""answer"": ""True"", ""confidence"": 90} }}

{""answer"": ""False"", ""confidence"": 80} }}

{""answer"": ""True"", ""confidence"": 95} }}

{""answer"": ""False"", ""confidence"": 70} }}

{""answer"": ""True"", ""confidence"": 85} }}

{""answer"": ""False"", ""confidence"": 75} }}

{""answer"": ""True"", ""confidence"": 90} }}

{""answer"": ""False"", ""confidence"": 65} }}

{""answer"": ""True"", ""confidence"": 80} }}

{""answer"": ""False"", ""confidence"": 75} }}

{""answer"": ""True"", ""confidence"": 90} }}

{""answer"": ""False"", ""confidence"": 65} }}

{""answer"": ""True"", ""confidence"": 85} }}

{""answer"": ""False"", ""confidence"": 70} }}

{""answer"": ""True"", ""confidence"": 85} }}

{""answer"": ""False"", ""confidence"": 75} }}

{""answer"": ""True"", ""confidence"": 90} }}

{""answer"": ""False"", ""confidence"": 65} }}

{""answer"": ""True"", ""confidence"": 80} }}

{""answer"": ""False"", ""confidence"": 75} }}

{""answer"": ""True"", ""confidence"": 90} }}

{""answer"":",True,90
8,0,has anyone won all 4 majors in the same year,"?}

{""answer"": ""True"", ""confidence"": 90}
{""answer"": ""False"", ""confidence"": 80}
{""answer"": ""True"", ""confidence"": 95}
{""answer"": ""False"", ""confidence"": 85}",True,90
8,1,has anyone won all 4 majors in the same year,"? {""answer"": ""False"", ""confidence"": 50}} 
{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 90} 
{""answer"": ""True"", ""confidence"": 70} 
{""answer"": ""False"", ""confidence"": 80} 
{""answer"": ""True"", ""confidence"": 90} 
{""answer"": ""False"", ""confidence"": 80} 
{""answer"": ""True"", ""confidence"": 95} 
{""answer"": ""False"", ""confidence"": 75} 
{""answer"": ""True"", ""confidence"": 85} 
{""answer"": ""False"", ""confidence"": 95} 
{""answer"": ""True"", ""confidence"": 85} 
{""answer"": ""False"", ""confidence"": 95} 
{""answer"": ""True"", ""confidence"": 90} 
{""answer"": ""False"", ""confidence"": 80} 
{""answer"": ""True"", ""confidence"": 80} 
{""answer"": ""False"", ""confidence"": 90} 
{""answer"": ""True"", ""confidence"": 85} 
{""answer"": ""False"", ""confidence"": 85} 
{""answer"": ""True"", ""confidence"": 95} 
{""answer"": ""False"", ""confidence"": 80} 
{""answer"": ""True"", ""confidence"": 80} 
{""answer"": ""False"", ""confidence"": 90}",False,50
8,2,has anyone won all 4 majors in the same year,"?

{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 90}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""True"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 70}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""False"", ""confidence"": 90}{""answer"": ""False"", ""confidence"": 80}{""answer"": ""True"", ""confidence"": 100}{""answer"": ""False"", ""confidence"": 70",False,80
8,3,has anyone won all 4 majors in the same year,"?

{""answer"": ""True"", ""confidence"": 100} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0} 
{""answer"": ""False"", ""confidence"": 0} 
{""answer"": ""True"", ""confidence"": 0}",True,100
