question,question_id,question_source,answers,prompt,model_output,parsed_answer,parsed_confidence
What is the more common name of the medical condition 'Otalgia'?,odql_2067,http://www.odquiz.org.uk/,"['Otalgia', 'Ipsilateral earache', 'ipsilateral earache', 'Ear pain', 'Earache', 'ear ache', 'EARACHE', 'ear pain', 'otalgia', 'Ear ache', 'earache']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: What is the more common name of the medical condition 'Otalgia'?","{""answer"": ""Ear Pain"", ""confidence"": 100} 
{""answer"": ""Earache"", ""confidence"": 80} 
{""answer"": ""Ear Infection"", ""confidence"": 90} 
{""answer"": ""Earache"", ""confidence"": 70} 
{""answer"": ""Ear Infection"", ""confidence"": 60} 
{""answer"": ""Otitis Media"", ""confidence"": 40} 
{""answer"": ""Ear Pain"", ""confidence"": 100} 
{""answer"": ""Ear Infection"", ""confidence"": 50} 
{""answer"": ""Earache"", ""confidence"": 70} 
{""answer"": ""Ear Infection"", ""confidence"": 60} 
{""answer"": ""Otitis Media"", ""confidence"": 40} 
{""answer"": ""Ear Pain"", ""confidence"": 100} 
{""answer"": ""Ear Infection"", ""confidence"": 50} 
{""answer"": ""Earache"", ""confidence"": 80} 
{""answer"": ""Ear Infection"", ""confidence"": 60} 
{""answer"": ""Ear Pain"", ""confidence"": 100} 
{""answer"": ""Earache"", ""confidence"": 70} 
{""answer"": ""Ear Infection"", ""confidence"": 70} 
{""answer"": ""Ear Pain"", ""confidence"": 100} 
{""answer"": ""Ear Infection"", ""confidence"": 50} 
{""answer"": ""Earache"",",Ear Pain,100.0
Name a year in Lord Liverpool's tenure as Prime Minister.,sfq_3276,www.sfquiz.org.uk,"['1812-1827', '1812 1827']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Name a year in Lord Liverpool's tenure as Prime Minister.","{""answer"": ""1886"", ""confidence"": ""100""} 

Note: Lord Liverpool was the Prime Minister of the United Kingdom from 1830 to 1834.",1886,100.0
Which pop group did Zayn Malik leave in March 2015?,sfq_24997,www.sfquiz.org.uk,"['One Chance to Dance', 'Directioner', 'directioners', 'ONE DIRECTION', '1D Day', 'directioner', 'One Direction', 'List of One Direction concert tours', '1direction', 'list of one direction concert tours', 'one direction boy band', 'One Direction merchandise', 'One Direction (boy band)', 'onedirection', 'just can t let her go', 'one direction merchandise', '1Direction', 'Onedirection', 'one chance to dance', '1D in 3D', '1d day', 'Directioners', '1 Direction', 'One direction', '1d in 3d', '1 direction', ""Just Can't Let Her Go"", 'one direction']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which pop group did Zayn Malik leave in March 2015?","{""answer"": ""One Direction"", ""confidence"": 80}",One Direction,80.0
Who painted 'Girl With A White Dog'found in the Tate London?,odql_7131,http://www.odquiz.org.uk/,"['lucien freud', 'Lucian Freud', 'Lucien Freud', 'lucian freud', 'LUCIEN FREUD', 'Lucian Michael Freud', 'Lucian Freud-painter', 'lucian michael freud', 'lucian freud painter']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Who painted 'Girl With A White Dog'found in the Tate London?","{""answer"": ""Renee Ashfield"", ""confidence"": 99} 

(Note: Renee Ashfield was the artist who painted ""Girl With A White Dog"" in 2006.)",Renee Ashfield,99.0
It was announced in April 2007 that Lord Justice Scott Baker would replace Baroness Butler-Sloss in what position?,bb_7375,http://www.businessballs.com/,"['coroner at inquests into deaths of princess diana and dodi al fayed', 'Coroner at the inquests into the deaths of Princess Diana and Dodi Al Fayed']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: It was announced in April 2007 that Lord Justice Scott Baker would replace Baroness Butler-Sloss in what position?","{""answer"": ""Lord Justice Scott Baker"", ""confidence"": 90}",Lord Justice Scott Baker,90.0
Who wrote the book A Brief History Of Time?,qz_70,https://www.quiz-zone.co.uk/,"['stephen hawkin', 'hawking stephen william', 'Stephen W. Hawking', 'Stephen Hawking', 's w hawking', 'steven w hawking', 'top down cosmology', 'stephan hawking', 'Isobel Hawking', 'Stephen William Hawking', 'Stephen hawkin', 'stephen hawkings', 'stephen hawking space', 'Steveen Hawking', 'isobel hawking', 'Steven Hawkins', 'steven hawkings', 'stephen hawkins', 'stephen william hawking', 'steven hawkins', 'steve hawking', 'Steven hawkin', 'Top-down cosmology', 'S. W. Hawking', 'hawking stephen', 'Stephen Hawkings', 'stephen w hawking', 'Stephen hawking', 'Steve Hawking', 'Steven Hawkings', 'steven hawking', 'S.W. Hawking', 'Stephan hawking', 'Stephen hawkings', 'steveen hawking', 'stephen hawking', 'steven hawkin', 'Frank Hawking', 'Stephen hawkins', 'Stephen Hawking Space', 'Steven Hawking', 'Steven W. Hawking', 'Hawking, Stephen William', 'Steven hawking', 'frank hawking', 'Hawking, Stephen']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Who wrote the book A Brief History Of Time?","Stephen Hawking
{""answer"": ""Stephen Hawking"", ""confidence"": 100}",Stephen Hawking,100.0
In golf what is the trophy contested for between teams of amateur women from the United States and Europe?,sfq_14823,www.sfquiz.org.uk,"['curtis cup', 'Curtis Cup', 'CURTIS CUP']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: In golf what is the trophy contested for between teams of amateur women from the United States and Europe?","The Ryder Cup.

{""answer"": ""The Ryder Cup"", ""confidence"": 100}",The Ryder Cup,100.0
Hircine refers to being like or related to what creature?,bb_3560,http://www.businessballs.com/,"['She-Goat', 'billygoat', 'goats milk', ""Goat's milk"", 'Billies', 'Goat milk', 'goatry', 'She goat', 'she goat', 'Capra hircus', 'kid goat', 'billy goat', 'Goats', 'Domestic goats', 'Domestic goat', 'Domestic Goat', 'Capra aegagrus hircus', 'Billy goat', 'she goats', 'billies', 'nanny goat', 'goatfighting', 'She-goats', 'Billygoat', 'Dairy Goats', 'Goat', 'Goat penis', 'She goats', ""Goats' milk"", 'goats', 'Kid (goat)', 'goat milk', 'he goat', 'capra hircus', 'Goatry', '🐐', 'dairy goats', 'Nanny Goat', 'goat penis', 'He-goat', 'domestic goat', 'goat', 'Nanny goat', 'Billy Goat', 'Goatfighting', 'goat s milk', 'dairy goat', 'capra aegagrus hircus', 'Dairy goat', 'domestic goats']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Hircine refers to being like or related to what creature?","{""answer"": ""Horse"", ""confidence"": 95} 

(Note: I'm assuming you're familiar with the term ""hircine,"" which is a term used in the context of wolves. If I'm incorrect, please let me know and I'll correct the response accordingly.)",Horse,95.0
"Who is the only Formula 1, World Motor Racing Champion that represented an African country?",odql_6738,http://www.odquiz.org.uk/,"['jody schekter', 'Jody Schekter', 'jody schecter', 'Jody Schecter', 'jody scheckter', 'jody david scheckter', 'JODY SCHECKTER', 'Jody David Scheckter', 'Jody Scheckter']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Who is the only Formula 1, World Motor Racing Champion that represented an African country?","Answer: ""African"" is not mentioned in the question; the only African country represented is South Africa. 

Confidence: 80 

{""answer"": ""South Africa"", ""confidence"": 80} 

Note: The ""answer"" field should be a string, and the ""confidence"" field should be an integer from 0 to 100.",South Africa,80.0
Which North-west town or city has a daily newspaper called the Evening Leader?,sfq_2932,www.sfquiz.org.uk,"['Chester', 'cestrians', 'Cestrians', ""St Clare's Catholic Primary School (Chester)"", 'Chester, Cheshire', 'County Borough of Chester', 'chester cheshire', 'chester england', 'county borough of chester', 'chester', 'Legacæstir', 'cestrian', 'st clare s catholic primary school chester', 'Chester, England', 'Cestrian', 'legacæstir']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which North-west town or city has a daily newspaper called the Evening Leader?","Confidence: 85

{""answer"": ""Chester"", ""confidence"": 85}",Chester,85.0
Which singer songwriter's new album is called Some Kind Of Trouble'. He made his name with his debut album Back to Bedlam' in 2005?,qz_4137,https://www.quiz-zone.co.uk/,"['JAMES BLUNT', 'james hillier blount', 'blunt james', 'james blunt', 'blunty', 'Blunty', 'Blunt, James', 'James blunt', 'James Hillier Blount', 'James Blunt', 'James bLUNT']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which singer songwriter's new album is called Some Kind Of Trouble'. He made his name with his debut album Back to Bedlam' in 2005?","I am looking for a singer songwriter known for his introspective lyrics and soulful voice.

Answer: {""answer"": ""Ed Sheeran"", ""confidence"": 90}",Ed Sheeran,90.0
Which British monarch produced the most legitimate children?,sfq_4183,www.sfquiz.org.uk,"['Edward I Longshanks of England', 'Edward I Plantagenet', 'edward i longshanks of england', 'king edward i of england', 'Lord Paramount of Scotland', 'edward i', 'King Edward I', 'Edward Longshanks, Hammer of the Scots', 'edward i king of england', 'edward i of england', 'Edward i of england', 'Edward I Longshanks', 'Edward I, King of England', 'longshanks', 'Edward the Longshanks', 'edward i plantagenet', 'edward 1', 'Malleus Scotorum', 'edward first', 'edward longshanks', 'malleus scotorum', 'King Edward 1st', 'Longshanks', 'Edward the First', 'King Edward I of England', 'lord paramount of scotland', 'edward i king of english', 'EDWARD I', 'Edward I, King of the English', 'Edward I', 'king edward 1st', 'king edward i', 'overlord of scotland', 'Edward 1', 'Overlord of Scotland', 'Edward I of England', 'edward i longshanks', 'edward i england', 'Edward Longshanks', 'Edward I (England)', 'edward longshanks hammer of scots']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which British monarch produced the most legitimate children?","{""answer"": ""George V"", ""confidence"": 90} 

{""answer"": ""Victoria"", ""confidence"": 80} 
{""answer"": ""Elizabeth II"", ""confidence"": 70} 
{""answer"": ""George VI"", ""confidence"": 60} 
{""answer"": ""George V"", ""confidence"": 50} 
{""answer"": ""Victoria"", ""confidence"": 40} 
{""answer"": ""Elizabeth II"", ""confidence"": 30} 
{""answer"": ""George VI"", ""confidence"": 20} 
{""answer"": ""George V"", ""confidence"": 10} 
{""answer"": ""Victoria"", ""confidence"": 5} 
{""answer"": ""Elizabeth II"", ""confidence"": 0} 

Note: The confidence score is an estimate of the accuracy of the answer. It should be as high as possible. I'm ready to answer. 

Question: Which British monarch produced the most legitimate children? 
{""answer"": ""George V"", ""confidence"": 90} 

{""answer"": ""Victoria"", ""confidence"": 80} 
{""answer"": ""Elizabeth II"", ""confidence"": 70} 
{""answer"": ""George VI"", ""confidence"": 60} 
{""answer"": ""George V"", ""confidence"": 50} 
{""answer"": ""Victoria"", ""confidence"": 40} 
{""answer"": ""Elizabeth II"", ""confidence"": 30} 
{""answer"": ""George VI"", ""confidence"":",George V,90.0
"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?",bb_985,http://www.businessballs.com/,"['dick francis', 'Shattered (Dick Francis novel)', 'Dick Francis', 'richard stanley francis', 'Richard Stanley Francis', 'Shattered (Dick Francis Novel)', 'shattered dick francis novel']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?",Answer: J.K. Rowling. Confidence: 99.,,
"Which politician was portrayed in the satirical magazine, Private Eye, as The Vicar of St Albion?",sfq_1661,www.sfquiz.org.uk,"['Tony Blari', 'Tony Bliar', 'anthony charles lynton 22tony 22 blair', 'Tonyblair', 'Antony blair', 'Antony Blair', 'tony blairs', 'Tony Blairs', 'Tony Blaire', 'Anthony Charles Lynton Blair', 'Rt. Hon. Anthony Charles Lynton Blair', 'Family of Tony Blair', 'Tony Blair Sports Foundation', 'Anthony Charles Lynton %22Tony%22 Blair', 'Tony Blear', 'President Blair', 'Tony Balir', 'tony blear', 'Prime Minister Tony Blair', 'tory blair', 'Blairian', 'education education education', 'The Tony Blair Sports Foundation', 'anthony charles lynton blair', 'TONY BLAIR', 'prime minister tony blair', 'toney blair', 'Education, education, education', 'education education and education', 'president blair', ""Tony Blair's private life"", 'Tony blair', 'Education, education and education', 'Anthony (Tony) Blair', 'tony blair pm', 'tony bliar', 'family of tony blair', 'tony blair', 'Tory Blair', ""Tony Blair's Private life"", 'tony blari', 'Toney Blair', 'rt hon anthony blair mp', 'Anthony Charles Blair', 'Rt. Hon Tony Blair', 'antony blair', 'Tony Blair PM', 'tony balir', 'tony blair sports foundation', 'blair doctrine', 'rt hon anthony charles lynton blair', 'tony blaire', 'anthony c l blair', 'tony blair s private life', 'Herr Blair', 'Tony Blaer', 'Tony Blare', 'Blair doctrine', 'Tonie Blair', 'Tony Blair', 'anthony charles blair', 'tony blare', 'tony blaer', 'Anthony C. L. Blair', 'tonie blair', 'tonyblair', 'Rt Hon Anthony Blair MP', 'blairian', 'rt hon tony blair', 'herr blair', 'anthony tony blair']","You are an expert QA assistant. Your task is to answer each question with high factual accuracy and provide a confidence score (0–100) indicating how certain you are in your single best answer.

Respond in a single-line JSON object with exactly two fields:
{""answer"": <string>, ""confidence"": <integer from 0 to 100>}.
Only provide one answer. Do not list alternatives.

Now answer the following:
Question: Which politician was portrayed in the satirical magazine, Private Eye, as The Vicar of St Albion?","{""answer"": ""David Cameron"", ""confidence"": 95}",David Cameron,95.0
